CONFIDENTIAL

Summary of Sightings of Unknown Aerial Phenomena, 14th District OSI (cont)

| Number | Date | Time | Number of Observers | Reliability of Observers | General Area of Occurrence | Apparent Direction of Flight | Apparent Altitude | Course Horizontal to Vertical | Color | Train or Trail | Duration of Observation | Sound | Shape | Apparent Size | Apparent Speed | Manner of Disappearance |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 5 | 1948<br>24 Oct | Night | 1 | Unk | Phoenix, Arizona | E to W | | | Green | | 75 min | | Star | | Very slow | Became very bright and fell apart |
| 6 | 5 or 4 Nov | App 2200 | 1 | R | Vaughn, New Mexico | | 400' - 500' | Descending slowly in vertical manner | Bright White | | | None | Round | Larger than basketball | Descending slowly | Exploded |
| 7 | 25 Nov | App 2200 | 1 | R | Vaughn, New Mexico | | 400' - 500' | Descending slowly in vertical manner | Bright white | | | None | Round | Larger than basketball | Descending slowly | Exploded |
| 8 | 5 Dec | 2135 | 2 | R | Las Vegas, New Mexico | W to E | Slightly above 9,000' | Horizontal slightly descending | Whitish orange | | Few secs | | | | | Disappeared |
| 9 | 5 Dec | App 2200 | 2 | R | Albuquerque, New Mexico | No movement noted | 10,500' | Parabolic curve | Green | Yes | 2 secs | None | Round | | | Faded out |
| 10 | 6 Dec | 2255 | 1 | Unk | Sandia Base, New Mexico | E to W | | Slight falling arch | Green | Yes | 2--3 secs | None | Round | 1/3 diameter of moon | Rapid | Vanished |
| 11 | 8 Dec | 1833 | 2 | VR | Las Vegas, New Mexico | ENE to WSW | 13,500' | Horizontal | Bright green | Yes | 2 secs | None | | Larger than a flare | Rapid rate of speed | Faded out |

CONFIDENTIAL
