CONFIDENTIAL

Summary of Sightings of Unknown Aerial Phenomena, 17th District OSI (cont)

Page 3

| Number | Date | Time | Number of Observers *Reliability of Observers | General Area of Occurrence | Apparent Direction of Flight | Apparent Altitude | Course Horizontal or Vertical | Color | Train or Trail | Duration of Observation | Sound | Shape | Apparent Size | Apparent Speed | Manner of Disappear[ance] |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 12 | 1948<br>11 Dec | 1930 | Unk | Hood River, Oregon | | | | Blue & white | | | Yes | Flash | | | Flash w/ [illegible] like thun[der] |
| 13 | 12 Dec | 2102 | 5<br>VR | 15 miles south of Las Vegas, New Mexico | E to W | 8 - 10 miles | Horizontal | Very bright green | | 2.1-2.3 secs | None | Ball | Magnitude -4 | | Broke into 3 or 4 small fragments & disappeared |
| 14 | 20 Dec | 2054 | 4<br>R | Los Alamos, New Mexico | W to E | Great height descending | 20° to the horizon | Pale green or bluish white | Yes | 1-1/2 secs | None | Ball | Basketball | High speed | Disappeared behind mountain |
| 15 | 28 Dec | 0431 | 1<br>R | Los Alamos, New Mexico | N to S | Descended from high alt to 6000' | Descending in vertical path | white | | Sev. secs | None | Star | Star | Slower than falling star | Disappeared w/greenish flash |
| 16 | 1949<br>6 Jan | 1730 | 1<br>Unk | Albuquerque, New Mexico | SE to NW | 1500' - 2000' | Horizontal | Bright white | | | None | Diamond | App. 2' long | Much faster than a jet | Disappeared |
| 17 | 6 Jan | 0310 | 1<br>R | Los Alamos, New Mexico | E to W | 3 to 5° from observer | Horizontal | Brilliant green | | 2 secs | None | | | High speed | Disappeared behind mountainous horizon |
| 18 | 30 Jan | 1754 | App 200<br>Unk | El Paso, Texas | NW to SE | 3° - 5° above horizon | Horizontal | Green | | | None | Ball | | | Broke into pieces |

CONFIDENTIAL
