~~CONFIDENTIAL~~

Summar

1949

| Number | Date | Time | Number of Observers | *Reliability of Observers | General Area of Occurrence | Apparent Direction of Flight | Apparent Altitude | Course Horizontal to Vertical | Color | Train or Trail | Duration of Observation | Sound | Shape | Apparent Size | Apparent Speed | Manner of Disappearance | Notes |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 44 | 27 Mar | 1813 | 1 | R | Tucumcari, New Mexico | E to W | Close to 45° above horizon | | Bright orange | None | 15 mts | None | Long & narrow | | | Faded out of sight in distance | |
| 45 | 27 Mar | 1800 | 1 | Unk | Tucumcari, New Mexico | E to W | 60° above horizon | | Orange fire | None | 15 mts | None | Like kite tail | About size of C-47 at 10,000 ft. | | Disappeared behind hills | |
| 46 | 31 Mar | 2150 | 1 | R | Camp Hood, Texas | SW | Est. 2,000' | | Fire red to white | Yes | | None | Spher-ical | App. size of basketball | | | |
| 47 | 5 Apr | 2200 | 1 | R | Los Alamos, New Mexico | S to N | App. 300' above S slope of Tejarito it. | Arc | Green w/red after glow | | ½ - 1 sec | None | | | Tremendous speed | Disappeared behind mountain | |
| 48 | 6 Apr | 1205 | 1 | R | Los Alamos, New Mexico | SE | About 15,000' | | Between dk & lt green | | 3 - 5 secs | None | | | Very fast | | |
| 49 | 7 Apr | 0135 | 1 | R | Los Alamos, New Mexico | W | About 200 yds fr top of hill | | Green | | App 45 secs | None | | | Moved very slowly | | (1) |
| 50 | 7 Apr | 0100 | 1 | R | Los Alamos, New Mexico | S to N | | | Green | | 5 secs | None | | | Moving slowly | | (2) |

~~CONFIDENTIAL~~
