| Report Number | Date | *Hour | Location |
| :--- | :--- | :--- | :--- |
| 1 | 19 May | 1215 | Manitou Springs, Colorado |
| 2 | 22 May | | Oklahoma City, Oklahoma |
| 3 | 22 June | 1130 | Greenfield, Massachusetts |
| 4 | 24 June | | Mt. Rainier, Washington |
| 5 | 28 June | 2120 | Maxwell Field, Alabama |
| 6 | 29 June | 1330 | Nera White Sands, New Mexico |
| 7 | 1 July | | Bakersfield, California |
| 8 | 4 July | 2015 | Emmett, Idaho |
| 9 | 6 July | 1345 | Clay Center, Kansas |
| 10 | 6 July | - | Fairfield-Suisun, California |
| 11 | 7 July | 1145 | Koshkonong, Wisconsin |
| 12 | 7 July | 1430 | East Troy, Wisconsin |
| 13 | 8 July | 1550 | Mt. Baldy, California |
| 14 | 9 July | 2330 | Grand Falls, Newfoundland |
| 15 | 10 July | 1600 | Harmon Field, Newfoundland |
| 16 | 12 July | 1830 | Elmendorf Field, Alaska |
| 17 | - | | |
| 18 | - | | |

*Local Standard Time

12
