| Report Number | Observer's Name | Occupation | Observed From |
| :--- | :--- | :--- | :--- |
| 1 | D. A. Houser | Railroad Employee | Ground |
| | F. J. Smith | " " | " " |
| | L. D. Jamison | " " | " " |
| 2 | Byron Savage | Businessman-Pilot | Ground |
| 3 | E. L. DeRose | *Not stated | Ground |
| 4 | Kenneth Arnold | Business-man Pilot | Air |
| 5 | Wilson H. Kayko | Captain, AAF | Ground |
| | John H. Cantrell | " " | " " |
| | Redman | " " | " " |
| | Theodore Dewey | 1st Lieut., AAF | " " |
| 6 | C. H. Zohn | Employee, NAL | Ground |
| | J. R. Kauke | " " | " " |
| | C. C. Rockwood | " " | " " |
| | Nancy Rockwood | Wife of C.C. Rockwood | " " |
| 7 | Richard Rankin | Civilian Pilot | Ground |
| 8 | E. J. Smith | United Air Lines Pilot | Air |
| | Ralph Stevens | " " " Co-Pilot | " " |
| 9 | A. B. Browning | Major, AAF | Air |
| 10 | Jas. H. Burniston | Captain, AAF | Ground |
| 11 | Not Stated | CAP Instructor | Air |
| | " " | CAP Student | " " |
| 12 | Not Stated | CAP Pilot | Air |
| | " " | CAP Passenger | " " |
| 13 | Alvin E. Moorman | 1st Lieut., ACCNG | Air |
| 14 | Iric Kearsey | Constable, Newfoundland Constabulary | Ground |
| 15 | Mr. Mehrman | TWA Representative | Ground |
| | Mr. Woodruff | PAA | " " |
| 16 | Grahm | Major, AAF | Ground |
| | and several other officers | | |

*From letter received, observer is obviously well educated.

2

65
