| Report Number | Shape | Sound | Trail | Weather |
| :--- | :--- | :--- | :--- | :--- |
| 1 | No definite shape could be determined | None | None | CAVU |
| 2 | | | | |
| 3 | Irregular; round, Dis not appear particularly disc-shaped | None | None | Not stated |
| 4 | | | | |
| 5 | None stated; seemed like a bright light | None | None | Clear moonlight |
| 6 | No details other than that shape was uniform with no protuberances | None | Possible vapor trails | CAVU |
| 7 | | | | |
| 8 | None definite, but seemed flat on base with the top slightly rough in contour | None | None | CAVU |
| 9 | Round, disc-shaped | None | None | CAVU |
| 10 | No shape could be distinguished | None | None | Sunny |
| 11 | Not stated, but report refers to "saucer" several times | None | None | CAVU |
| 12 | Same as Report No. 11 | None | None | CAVU |
| 13 | Flat object, of light-reflecting nature which appeared to be without vertical fin or any visible wings | None | None | Not stated |
| 14 | Egg-shaped, or like barrel head | None | None | CAVU |
| 15 | Circular in shape, like wagon wheel | None | Bluish black trail approx. 15 mi. long | Clear with scattered cumulus at 8 to 10,000' |
| 16 | Resembled balloon | None | None | Not stated |

6
