| Report Number | Manner of Disappearance | Remarks |
| :--- | :--- | :--- |
| 1 | Climbed very fast and out of sight | No definite shape could be determined and even with the aid of 4 to 6 power binoculars object could not be brought into focus |
| 2<br>3 | Obscured by a cloud bank | From letter this observer wrote, it is obvious he is a well-educated person. Seeks no publicity. |
| 4<br>5 | Lost in brilliancy of the moon | Observers (2 rated, 2 air intell.) phoned Field Ops to ascertain no scheduled experimental a/c were in vicinity. Sky chart attached to report. Observer is Admin. Asst. in the Rocket Sonde Sect. Two other "scientists", and wife of one, were in party and made same observation |
| 6 | Cannot explain, except that reflection angle may have changed abruptly | |
| 7<br>8 | Don't know whether they put on a tremendous burst of speed, or disintegrated. However, they did disappear into sunset | Observers were Pilot, Co-Pilot, of scheduled UAL DC-3. Stewardess also saw objects. Suggest reading of very detailed statements. |
| 9 | Unexplained | When first sighting object near horizon, observer looked at chart in his lap to check position. When he looked out window again, object was off his left wing at 11 o'clock. Rolled from side to side 3 times in its path across the sky. Sun reflected from top side, but never from underside, even when turning |
| 10 | Disappeared at an angle of about 30° above the earth's surface | |
| 11<br>12 | Unexplained | None |
| 13 | Pilot (at 300MPH) attempted to keep object in sight, but unable to do so | Observer contacted bases in area who reported no a/c in air at time |
| 14<br>15 | Unexplained | First 4 discs flying line-a-trail. Seemed to cut clouds open as it passed thru. Trail was like beam seen after a high-powered landing light is switched off. |
| 16 | Not stated | Object was observed paralleling the course of a C-47 then landing. |

7
