Tape 90/3
Page 742

| Time | Speaker | Dialogue |
| :--- | :--- | :--- |
| 05 19 14 58 | CC | That's affirmative. We're ready for the E-MOD. |
| 05 19 16 31 | CC | Intrepid, Houston. |
| 05 19 16 35 | CDR-LM | Go. |
| 05 19 16 37 | CC | If you will give us P00 and ACCEPT, we'll give you a CSM state vector and RLS update. |
| 05 19 16 45 | CDR-LM | You have P00 and ACCEPT. |
| 05 19 20 05 | CMP | Hello, Houston; Yankee Clipper. |
| 05 19 20 09 | CC | Yankee Clipper, Houston. Loud and clear. |
| 05 19 20 14 | CMP | Well, hello there, stranger. How are you? |
| 05 19 20 22 | CC | Morning, Dick. We are fine. How are you? |
| 05 19 20 27 | CMP | Well, pretty good. I hope you would like to have some company for a change. |
| 05 19 20 31 | CC | Roger. Got the house clean? |
| 05 19 20 36 | CMP | As a matter of fact, I just finished that. I sure do; got everything in order; ready to go towards the LM and bring back ... That's quite a chore; keeping this thing clean. |
| 05 19 20 53 | CC | Roger. You got a couple of coal miners coming up to see you. |
| 05 19 20 59 | CMP | That's okay. I'll be glad to see them. |
| 05 19 21 10 | CC | Intrepid, Houston. The computer is yours. Break. Yankee Clipper, if you will go P00 and ACCEPT, we have an uplink. |
| 05 19 21 20 | CMP | All yours. |
| 05 19 23 14 | CDR-LM | Houston, you got the lift-off time for me? |
| 05 19 23 20 | CC | Stand by. |
| 05 19 23 39 | CC | Intrepid, Houston. Your lift-off time is 142:03:47. |
| 05 19 23 52 | CDR-LM | I copy 142:03:47.00. |
| 05 19 23 57 | CC | Affirmative. |
| 05 19 24 05 | CC | Clipper, Houston. Computer's yours. |
