**Document title:** NASA-UAP-D1, Apollo 12 Transcript, 1969
**Source file:** NASA-UAP-D1_ Apollo 12 Transcript_ 1969.pdf
**Page:** 2 of 4
**Agency:** NASA
**Release date:** 5/8/26
**Dataset description:** Incident date: 1969; Incident location: Moon


Tape 90/4
Page 743

| Time | Speaker | Transcript |
| :--- | :--- | :--- |
| 05 19 24 11 | CMP | Okay. And Jerry, will you find out what they want to do about this battery charge, because I'm using the bus ties during the rendezvous? |
| 05 19 24 23 | CC | Roger. |
| 05 19 24 43 | CC | Yankee Clipper, Houston. Why don't you figure on terminating the battery charge at LOS? |
| 05 19 24 52 | CMP | All right; I could let it go until I ... just before lift-off. That way it might take it all the way up. |
| 05 19 25 33 | CC | Clipper, Houston. We prefer that you terminate at LOS on this pass. |
| 05 19 25 40 | CMP | Roger. |
| 05 19 25 41 | CC | Roger. That would be one less thing for us to keep track of prior to lift-off. |
| 05 19 25 48 | CMP | Okay. |
| 05 19 27 17 | CDR-LM | Say, Houston; Intrepid. |
| 05 19 27 20 | CC | Intrepid, Houston. Go. |
| 05 19 27 25 | LMP-LM | Roger. When you look out the AOT in the dark quadrant? You can see these lights - particles of light, flashes of light just seem to come from - in this case, I'm looking in quadrant 1 which is the left one. It's coming from behind me, the left, and they're just sailing off in space. I was thinking they're dropping from my water boiler, but it looks like some of those things are escaping the Moon. They really haul out of here and just press off at the stars. |
| 05 19 27 56 | CC | Roger. |
| 05 19 28 25 | CC | Yankee Clipper, Houston with a P22 tracking PAD. |
| 05 19 28 42 | CMP | Go ahead. |
| 05 19 28 44 | CC | Roger. Your target is LM; T1 is 139:57:39; T2 is 140:02:38; south 05; latitude is minus 3 - - |
| 05 19 29 10 | CMP | Roger. T 112 - |
