Tape 93/8
Page 778

| Time | Speaker | Text |
| :--- | :--- | :--- |
| 06 00 21 42 | CMP | But I don't have you in the sextant. That's okay. Your blinking light's just not blinking, that's all. |
| 06 CO 21 51 | CDR-LM | Hey, Houston. It looks like our tracking light's burned out. Dick hasn't been able to find us in this sextant. And on the first nightside pass we had little bits and pieces floating along with us and we could tell that the tracking light was flashing on them. And we still have, I've presumed to think, bits and pieces floating along and nothing's flashing on them, so I'm pretty sure it burned out. |
| 06 00 22 11 | CC | Roger, Pete. |
| 06 00 22 22 | LMP-LM | Yes, sir. Okay. |
| 06 00 22 26 | CC | Hi, Intrepid. |
| 06 00 22 27 | LMP-LM | Okay. |
| 06 00 22 28 | CC | This is Houston. How'd your sweepdown fore and aft go? |
| 06 00 22 33 | CDR-LM | It's getting much cleaner in here running this way; and, also, Yankee Clipper informs me he has the television all set up. When we come around the horn, we'll come around with the television on in VOX. |
| 06 00 22 47 | CC | Roger. |
| 06 00 22 53 | CDR-LM | Who knows, you may get to see the first whifferdill. |
| 06 00 22 59 | CC | Roger, Pete. Our electrical watchers say that the current indicates that your tracking light is on. |
| 06 00 23 11 | CDR-LM | Okay. Now we just turned it off. Now does the current show that? |
| 06 00 23 19 | CC | It - It sure does, Pete. |
| 06 00 23 26 | CMP | You're - they're - You're flying through the air backwards, then, Pete, because I don't see it. |
| 06 00 23 33 | CDR-LM | Well, my ball tells me I'm pointed at you, Dick, and so does my radar. |
