<div align="right">Tape 5/5</div>

| Time | Speaker | Dialogue |
| :--- | :--- | :--- |
| 00 03 40 01 | CMP | Okay. SECS LOGIC is CLOSED; SECS ARM are CLOSED; LOGIC POWER is ON. |
| | LMP | Okay. |
| 00 03 40 13 | CC | 17, Houston. You have a GO for T&D. |
| | CDR | Okay. A GO for T&D. |
| 00 03 40 38 | CMP | Okay. We'll ARM the PYROs. And we'll hit the GDC ALIGN. |
| 00 03 41 00 | CMP | And maneuver's complete. And 0180 and 0? On the GDC? No. It's just ... It's kind of diddling. |
| 00 03 41 19 | CMP | Okay. DELTA-V in NORMAL. |
| 00 03 41 42 | CMP | S-IVB, okay. Okay, switches are all set. |
| | LMP | Okay; 59:30. |
| 00 03 41 55 | CMP | Okay. Let's start the DET. |
| 00 03 41 59 | CDR | Tickity-tick-tickity, Houston. We're running at 59:30. |
| | CC | Roger. |
| | CMP | Okay. |
| 00 03 42 12 | CMP | Okay. That's LAUNCH VEHICLE SEP, push button. |
| | LMP | Okay. |
| 00 03 42 19 | CMP | MC in AUTO. |
| | CMP | Next? |
| 00 03 42 29 | CDR | SEPARATION, Houston. |
| | CMP | Okay, check the covers. Okay. And check the other ones off. |
| | LMP | They're all ... |
| | CMP | Okay, I'm going to start the - My gosh, look at the junk! Okay; there's 15 seconds. Pitch her up. Okay, we'll PROCEED on the - - |
