Tape 46/5

| Time | Speaker | Dialogue |
| :--- | :--- | :--- |
| 02 18 44 40 | CDR | Okay, I just wanted you to - just told them like we saw them. That's all. |
| | CC | Roger. |
| | CDR | I will say one thing, though; no question in my mind but that they're there. Last trip I took, I guess I just wasn't looking for them or paying any attention to them. Maybe they were there and I ignored them because of other things. But they're there. |
| | LMP | Okay, all you flash bugs down there - or flash-bulbs I guess is the word - frame 50. I just took four pictures to show - two on the side and two on the bottom - to show the position of the ALFMED, and one of them of each set was focused on the ALFMED. The others were focused on the - the other set was focused on the struts. |
| | CC | Roger, Jack. |
| | LMP | And when you don't have anything else to do, why don't you have somebody predict where the S-IVB is. I think I've got her spotted - behind us and above us with respect to the Earth and our travel from it. |
| | CC | FIDO just went out and shot himself, but we'll get working on it. |
| | LMP | Oh, don't worry about it. Shoot. I thought you guys might have an idea off-the-cuff there. |
| | CC | No, what's humorous on this, Jack, is they have really been working on that S-IVB impact point -, and they've really been - it's been a - a real difficult problem for them so far. |
| | LMP | I'll tell you, I bet you Ron could give a star sighting on it (laughter). I looked at it through the monocular and sure looks like the S-IVB. |
| | CC | Jack, we're not doubting you at all. We could probably start cranking it right now. |
