Tape 46/8

| Timestamp | Speaker | Dialogue |
| :--- | :--- | :--- |
| 02 18 51 32 | CDR | MARK it. It just crossed through the - - |
| | CC | Mark. We got it. |
| | CDR | - - let's call it the XZ plane of the spacecraft. One unique thing about it, Bob, is that it's got two flashes. As it comes around in - in rhythmic fashion, you get a very bright flash; and then you get a dull flash. And then it'll come around with a bright flash, and then a dull flash. |
| 02 18 52 18 | LMP | That's the side and - of the S-IVB - and then the engine bell, Gene. |
| | LMP | The commander doesn't think that I can see the engine bell on that thing. |
| | CC | Roger, Jack. Is that with the monocular you're looking at it? |
| | CDR | He couldn't see the engine bell if he had 10 monoc- ulars. |
| | CMP | Okay. I've got the cable restowed now. |
| | CC | Say again, Ron. |
| 02 18 53 10 | CMP | And, Gene, where's your blindfold? ... |
| 02 18 55 24 | LMP | Bob, couple of revolutions ago when I was looking at it, I had a much brighter view and I believe I was looking at it broadside. It looks to me like it may be flashing more or less end-on now. It's much, not - not as bright, although it's getting brighter. But it's not as bright now as it was awhile ago. |
| | CC | Roger, Jack. |
| | LMP | ... we've been noticing that, I think, for about 24 hours or so. I just - hadn't put it together as maybe being the S-IVB. I thought it was just some other particle out there. |
| 02 18 56 27 | CC | Roger, Jack. |
| | CDR | Hey, Robert, what's the final Cowboy score? |
