Tape 60/2

| Timestamp | Speaker | Text |
| :--- | :--- | :--- |
| | CC | Roger. |
| | LMP | That's the small craters. There, in the Mare Procellarum closest to Grimaldi, there are two arcuate rilles. Look like they are probably V-shaped in their cross section. I'm sure we've seen those on the photographs much better than I can see them here. Those - the rille patterns, though, do seem to project over into the highlands. |
| | CC | Okay. |
| | LMP | To the north of that - to the north of that bay of mare. Just interrupt. |
| 03 15 38 09 | LMP | Hey, I just saw a flash on the lunar surface! |
| | CC | Oh, yes? |
| | LMP | It was just out there north of Grimaldi. Just north of Grimaldi. You might see if you got anything on your seismometers, although a small impact probably would give a fair amount of visible light. |
| | CC | Okay. We'll check. |
| | LMP | It was a bright little flash right out there near that crater. See the crater right at the edge of Grimaldi. Then there is another one north of it. Fairly sharp one north of it is where there was just a thin streak of light. |
| | CC | How about putting an X on the map where you saw it. |
| | LMP | I keep looking occasionally for - yes, we will. I - I was planning on looking for those kind of things. Starting to see the edge of Orientale, Gordy. Way off to the west. Hey, just yell, Gene, anytime you - - |
| 03 15 39 46 | LMP | Gordy, to the north of Grimaldi there is a large basin that is about the same size but only incompletely filled with mare in its northeastern quadrant. The rest of it looks like a fairly irregular and hummocky floor material of some kind. |
| | CC | Roger. |
