Table 33. Effect on f-Ratio of Varying Mode-5 Constant A (B = 1000) - Part 1

| 180 - φ | R = 1 nm | | | | R = 5 nm | | | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| | A = 2.5 | A = 3.0 | A = 3.5 | A = 4.0 | A = 2.5 | A = 3.0 | A = 3.5 | A = 4.0 |
| 0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 |
| 5 | 1.2 | 1.3 | 1.3 | 1.4 | 1.2 | 1.3 | 1.4 | 1.4 |
| 10 | 1.3 | 1.6 | 1.8 | 2.0 | 1.5 | 1.7 | 1.8 | 2.0 |
| 15 | 1.5 | 2.0 | 2.4 | 2.8 | 1.8 | 2.2 | 2.5 | 2.8 |
| 20 | 1.7 | 2.5 | 3.3 | 4.0 | 2.2 | 2.8 | 3.4 | 4.0 |
| 25 | 1.9 | 3.1 | 4.3 | 5.6 | 2.6 | 3.6 | 4.6 | 5.7 |
| 30 | 2.1 | 3.7 | 5.8 | 7.9 | 3.1 | 4.5 | 6.1 | 8.1 |
| 35 | 2.3 | 4.5 | 7.6 | 11.1 | 3.7 | 5.8 | 8.3 | 11.4 |
| 40 | 2.5 | 5.3 | 9.8 | 15.5 | 4.3 | 7.3 | 11.1 | 16.1 |
| 45 | 2.6 | 6.2 | 12.6 | 21.5 | 4.9 | 9.2 | 14.9 | 22.8 |
| 50 | 2.8 | 7.0 | 15.9 | 29.5 | 5.7 | 11.4 | 19.9 | 32.1 |
| 55 | 2.9 | 7.9 | 19.7 | 40.2 | 6.4 | 14.1 | 26.3 | 45.1 |
| 60 | 3.0 | 8.7 | 24.0 | 53.8 | 7.2 | 17.1 | 34.7 | 63.1 |
| 65 | 3.1 | 9.5 | 28.5 | 70.7 | 7.9 | 20.6 | 45.2 | 87.8 |
| 70 | 3.2 | 10.2 | 33.1 | 91.0 | 8.6 | 24.3 | 58.2 | 121.4 |
| 75 | 3.3 | 10.8 | 37.6 | 113.9 | 9.3 | 28.5 | 73.8 | 166.3 |
| 80 | 3.3 | 11.3 | 41.8 | 138.6 | 10.0 | 32.5 | 92.1 | 224.8 |
| 85 | 3.4 | 11.7 | 45.5 | 163.6 | 10.5 | 36.5 | 112.6 | 299.2 |
| 90 | 3.4 | 12.1 | 48.7 | 187.4 | 11.1 | 40.4 | 134.7 | 390.1 |
| 95 | 3.4 | 12.3 | 51.4 | 208.9 | 11.5 | 44.1 | 157.4 | 496.7 |
| 100 | 3.5 | 12.6 | 53.5 | 227.2 | 11.9 | 47.3 | 179.9 | 615.2 |
| 105 | 3.5 | 12.7 | 55.2 | 242.2 | 12.3 | 50.2 | 200.9 | 739.7 |
| 110 | 3.5 | 12.9 | 56.5 | 254.1 | 12.5 | 52.7 | 219.9 | 862.9 |
| 115 | 3.5 | 13.0 | 57.6 | 263.1 | 12.8 | 54.7 | 236.4 | 977.7 |
| 120 | 3.5 | 13.1 | 58.3 | 270.0 | 13.0 | 56.4 | 250.2 | 1079.0 |
| 125 | 3.5 | 13.2 | 58.9 | 275.0 | 13.2 | 57.8 | 261.4 | 1164.0 |
| 130 | 3.5 | 13.2 | 59.4 | 278.6 | 13.3 | 58.9 | 270.4 | 1232.6 |
| 135 | 3.6 | 13.3 | 59.7 | 281.2 | 13.4 | 59.8 | 277.4 | 1286.0 |
| 140 | 3.6 | 13.3 | 59.9 | 283.1 | 13.5 | 60.5 | 282.8 | 1326.5 |
| 145 | 3.6 | 13.3 | 60.1 | 284.5 | 13.6 | 61.1 | 286.9 | 1356.7 |
| 150 | 3.6 | 13.3 | 60.2 | 285.4 | 13.6 | 61.5 | 290.0 | 1378.8 |
| 155 | 3.6 | 13.3 | 60.3 | 286.1 | 13.7 | 61.8 | 292.3 | 1394.8 |
| 160 | 3.6 | 13.4 | 60.4 | 286.6 | 13.7 | 62.1 | 294.1 | 1406.3 |
| 165 | 3.6 | 13.4 | 60.5 | 286.9 | 13.7 | 62.3 | 295.4 | 1414.6 |
| 170 | 3.6 | 13.4 | 60.5 | 287.2 | 13.8 | 62.4 | 296.3 | 1420.5 |
| 175 | 3.6 | 13.4 | 60.5 | 287.3 | 13.8 | 62.6 | 297.0 | 1424.7 |
| 180 | 3.6 | 13.4 | 60.5 | 287.5 | 13.8 | 62.6 | 297.6 | 1427.6 |

9/10/96
