Table 34. Effect on f-Ratio of Varying Mode-5 Constant A (B = 1000) - Part 2

| 180 - φ | R = 10 nm (A=2.5) | R = 10 nm (A=3.0) | R = 10 nm (A=3.5) | R = 10 nm (A=4.0) | R = 25 nm (A=2.5) | R = 25 nm (A=3.0) | R = 25 nm (A=3.5) | R = 25 nm (A=4.0) |
| :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: | :---: |
| 0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 | 1.0 |
| 5 | 1.2 | 1.3 | 1.4 | 1.4 | 1.2 | 1.3 | 1.4 | 1.4 |
| 10 | 1.5 | 1.7 | 1.8 | 2.0 | 1.5 | 1.7 | 1.8 | 2.0 |
| 15 | 1.9 | 2.2 | 2.5 | 2.8 | 1.9 | 2.2 | 2.5 | 2.8 |
| 20 | 2.3 | 2.8 | 3.4 | 4.0 | 2.3 | 2.8 | 3.4 | 4.0 |
| 25 | 2.8 | 3.6 | 4.6 | 5.7 | 2.9 | 3.7 | 4.6 | 5.7 |
| 30 | 3.4 | 4.7 | 6.2 | 8.1 | 3.6 | 4.8 | 6.2 | 8.1 |
| 35 | 4.1 | 6.0 | 8.4 | 11.5 | 4.4 | 6.1 | 8.4 | 11.5 |
| 40 | 4.9 | 7.7 | 11.3 | 16.2 | 5.3 | 7.9 | 11.4 | 16.3 |
| 45 | 5.8 | 9.8 | 15.3 | 23.0 | 6.5 | 10.2 | 15.5 | 23.1 |
| 50 | 6.8 | 12.4 | 20.5 | 32.4 | 7.9 | 13.2 | 20.9 | 32.7 |
| 55 | 8.0 | 15.7 | 27.5 | 45.8 | 9.6 | 16.9 | 28.3 | 46.2 |
| 60 | 9.3 | 19.7 | 36.7 | 64.5 | 11.5 | 21.6 | 38.1 | 65.4 |
| 65 | 10.7 | 24.4 | 48.8 | 90.6 | 13.7 | 27.5 | 51.2 | 92.3 |
| 70 | 12.1 | 29.9 | 64.3 | 126.7 | 16.2 | 34.8 | 68.7 | 130.2 |
| 75 | 13.5 | 36.3 | 84.1 | 176.4 | 19.0 | 43.8 | 91.7 | 183.1 |
| 80 | 15.0 | 43.4 | 108.6 | 243.9 | 22.1 | 54.5 | 121.8 | 256.9 |
| 85 | 16.4 | 51.1 | 138.4 | 333.9 | 25.4 | 67.3 | 160.6 | 358.9 |
| 90 | 17.8 | 59.1 | 173.5 | 451.4 | 28.8 | 82.2 | 209.9 | 498.3 |
| 95 | 19.0 | 67.3 | 213.3 | 600.5 | 32.4 | 98.9 | 271.3 | 686.6 |
| 100 | 20.1 | 75.3 | 256.8 | 782.9 | 35.9 | 117.3 | 345.7 | 936.0 |
| 105 | 21.2 | 82.9 | 302.1 | 996.3 | 39.4 | 137.0 | 433.3 | 1258.3 |
| 110 | 22.1 | 89.8 | 347.2 | 1233.5 | 42.7 | 157.2 | 532.8 | 1662.1 |
| 115 | 22.9 | 96.0 | 390.2 | 1482.5 | 45.9 | 177.4 | 641.3 | 2148.4 |
| 120 | 23.5 | 101.4 | 429.4 | 1728.6 | 48.7 | 196.9 | 754.5 | 2707.0 |
| 125 | 24.1 | 106.0 | 463.6 | 1957.9 | 51.3 | 215.0 | 867.2 | 3315.0 |
| 130 | 24.6 | 109.9 | 492.6 | 2159.9 | 53.5 | 231.5 | 974.6 | 3939.0 |
| 135 | 25.0 | 113.0 | 516.4 | 2329.5 | 55.5 | 245.9 | 1072.3 | 4542.1 |
| 140 | 25.3 | 115.5 | 535.5 | 2466.0 | 57.2 | 258.3 | 1158.0 | 5092.0 |
| 145 | 25.6 | 117.6 | 550.4 | 2572.4 | 58.6 | 268.8 | 1230.3 | 5567.4 |
| 150 | 25.8 | 119.2 | 562.0 | 2653.1 | 59.9 | 277.4 | 1289.7 | 5959.9 |
| 155 | 26.0 | 120.5 | 570.8 | 2713.1 | 60.9 | 284.5 | 1337.3 | 6271.7 |
| 160 | 26.1 | 121.5 | 577.5 | 2757.1 | 61.7 | 290.1 | 1374.6 | 6512.1 |
| 165 | 26.3 | 122.2 | 582.5 | 2789.0 | 62.4 | 294.6 | 1403.5 | 6693.0 |
| 170 | 26.4 | 122.8 | 586.3 | 2812.0 | 63.0 | 298.2 | 1425.6 | 6826.7 |
| 175 | 26.4 | 123.3 | 589.1 | 2828.4 | 63.4 | 301.0 | 1442.3 | 6924.4 |
| 180 | 26.5 | 123.7 | 591.2 | 2840.1 | 63.8 | 303.2 | 1454.9 | 6994.9 |

9/10/96  &nbsp
