D.2.1 Atlas Launch History

The data in Table 41 summarize the flight performance of all Atlas and Atlas-boosted space-vehicle launches since the program began in June 1957. A launch sequence number is provided in the first column, a mission ID and launch date in columns 2 and 3. The vehicle configuration or Atlas booster number is given in the fourth column, while the fifth column shows whether the launch took place from the Eastern or Western Range. The last three columns in the table show, respectively, the response mode assigned by RTI to any failure or anomalous behavior that occurred, the flight phase in which it occurred, and whether the vehicle configuration is considered representative for the purposes of predicting future Atlas reliability. Launches through sequence number 532 were used in the filtering process to estimate failure rate.

Table 41. Atlas Launch History

| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | Weapons System (WS) | 06/11/57 | 4A | ER | 4T | 1 | 0 |
| 2 | WS | 09/25/57 | 6A | ER | 4 | 1 | 0 |
| 3 | WS | 12/17/57 | 12A | ER | | | 0 |
| 4 | WS | 01/10/58 | 10A | ER | | | 0 |
| 5 | WS | 02/07/58 | 13A | ER | 4 | 1 | 0 |
| 6 | WS | 02/20/58 | 11A | ER | 4T | 1 | 0 |
| 7 | WS | 04/05/58 | 15A | ER | 4 | 1 | 0 |
| 8 | WS | 06/03/58 | 16A | ER | | | 0 |
| 9 | WS | 07/19/58 | 3B | ER | 4T | 1 | 0 |
| 10 | WS | 08/02/58 | 4B | ER | | | 0 |
| 11 | WS | 08/28/58 | 5B | ER | 4 | 2.5 | 0 |
| 12 | WS | 09/14/58 | 8B | ER | 4 | 2.5 | 0 |
| 13 | WS | 09/18/58 | 6B | ER | 4 | 1 | 0 |
| 14 | WS | 11/17/58 | 9B | ER | 4 | 2 | 0 |
| 15 | WS | 11/28/58 | 12B | ER | | | 0 |
| 16 | SCORE | 12/18/58 | 10B LV-3A/AGENA | ER | | | 0 |
| 17 | WS | 12/23/58 | 3C | ER | | | 0 |
| 18 | WS | 01/15/59 | 13B | ER | 5 | 1 | 0 |
| 19 | WS | 01/27/59 | 4C | ER | 5 | 2 | 0 |
| 20 | WS | 02/04/59 | 11B | ER | | | 0 |
| 21 | WS | 02/20/59 | 5C | ER | 4 | 2 | 0 |
| 22 | WS | 03/18/59 | 7C | ER | 4 | 1 | 0 |
| 23 | WS | 04/14/59 | 3D | ER | 4 | 1 | 0 |
| 24 | WS | 05/18/59 | 7D | ER | 4 | 1 | 0 |
| 25 | WS | 06/06/59 | 5D | ER | 4 | 2 | 0 |
| 26 | WS | 07/21/59 | 8C | ER | | | 0 |
| 27 | WS | 07/28/59 | 11D | ER | | | 0 |
| 28 | WS | 08/11/59 | 14D | ER | | | 0 |
| 29 | WS | 08/24/59 | 11C | ER | | | 0 |
| 30 | MERCURY (test) | 09/09/59 | 10D LV-3B | ER | 4 | 2 | 0 |
| 31 | DESERT HEAT | 09/09/59 | 12D | WR | | | 0 |

9/10/96  &
