| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 169 | EXOSAT | 05/26/83 | 3914 | WR | | | 1 |
| 170 | GALAXY-A | 06/28/83 | 3920 PAM | ER | | | 1 |
| 171 | TELSTAR-3A | 07/28/83 | 3920 PAM | ER | | | 1 |
| 172 | RCA-G | 09/08/83 | 3924 | ER | | | 1 |
| 173 | GALAXY-B | 09/22/83 | 3920 PAM | ER | | | 1 |
| 174 | L&SAT-D' | 03/01/84 | 3920 | WR | | | 1 |
| 175 | AMPTE | 08/16/84 | 3924 | ER | | | 1 |
| 176 | GALAXY-C | 09/21/84 | 3920 PAM | ER | | | 1 |
| 177 | NATO-IIID | 11/14/84 | 3914 | ER | | | 1 |
| 178 | GOES-G | 05/03/86 | 3914 | ER | 4 | 1 | 1 |
| 179 | DELTA 180 | 09/05/86 | 3920 | ER | | | 1 |
| 180 | GOES-H | 02/26/87 | 3924 | ER | | | 1 |
| 181 | PALAPA B2-P | 03/20/87 | 3920 PAM | ER | | | 1 |
| 182 | DELTA 181 | 02/08/88 | 3910 | ER | | | 1 |
| 183 | NAVSTAR II-1 | 02/14/89 | 6925 | ER | | | 1 |
| 184 | DELTA STAR | 03/24/89 | 3920 | ER | | | 1 |
| 185 | NAVSTAR II-2 | 06/10/89 | 6925 | ER | | | 1 |
| 186 | NAVSTAR II-3 | 08/18/89 | 6925 | ER | | | 1 |
| 187 | BSB-R1 | 08/27/89 | 4925 | ER | | | 1 |
| 188 | NAVSTAR II-4 | 10/21/89 | 6925 | ER | | | 1 |
| 189 | OOBE | 11/18/89 | 5920 | WR | | | 1 |
| 190 | NAVSTAR II-5 | 12/11/89 | 6925 | ER | | | 1 |
| 191 | NAVSTAR II-6 | 01/24/90 | 6925 | ER | | | 1 |
| 192 | LOSAT | 02/14/90 | 6920-8 | ER | | | 1 |
| 193 | NAVSTAR II-7 | 03/26/90 | 6925 | ER | | | 1 |
| 194 | PALAPA B-2R | 04/13/90 | 6925 | ER | | | 1 |
| 195 | ROSAT | 06/01/90 | 6920-10 | ER | | | 1 |
| 196 | INSAT-1D | 06/11/90 | 4925 | ER | | | 1 |
| 197 | NAVSTAR II-8 | 08/02/90 | 6925 | ER | | | 1 |
| 198 | BSB-R2 | 08/18/90 | 6925 | ER | | | 1 |
| 199 | NAVSTAR II-9 | 10/01/90 | 6925 | ER | | | 1 |
| 200 | INMARSAT-2F1 | 10/30/90 | 6925 | ER | | | 1 |
| 201 | NAVSTAR II-10 | 11/26/90 | 7925 | ER | | | 1 |
| 202 | NATO IVA | 01/07/91 | 7925 | ER | | | 1 |
| 203 | INMARSAT-2F2 | 03/08/91 | 6925 | ER | | | 1 |
| 204 | ASC-2 | 04/12/91 | 7925 | ER | | | 1 |
| 205 | AURORA II | 05/29/91 | 7925 | ER | | | 1 |
| 206 | NAVSTAR II-11 | 07/03/91 | 7925 | ER | | | 1 |
| 207 | NAVSTAR II-12 | 02/23/92 | 7925 | ER | | | 1 |
| 208 | NAVSTAR II-13 | 04/09/92 | 7925 | ER | | | 1 |
| 209 | PALAPA B4 | 05/13/92 | 7925-8 | ER | | | 1 |
| 210 | EUVE | 06/07/92 | 6920-10 | ER | | | 1 |
| 211 | NAVSTAR II-14 | 07/07/92 | 7925 | ER | | | 1 |
| 212 | GEOTAIL | 07/24/92 | 6925 | ER | | | 1 |
| 213 | SATCOM C4 | 08/31/92 | 7925 | ER | | | 1 |
| 214 | NAVSTAR II-15 | 09/09/92 | 7925 | ER | | | 1 |

9/10/96 140 RTI
