D.4.1 Titan Launch History

The data in Table 45 summarizes all Titan and Titan-boosted space-vehicle launches since the program began. A launch sequence number is provided in the first column. A launch ID and date are provided in columns 2 and 3. The fourth column indicates the vehicle configuration. The fifth column indicates the launch range. The sixth column indicates the failure-response mode (1 through 5 and NA) that RTI has determined best describes the failure that occurred. For Mode 3 or 4 failures, a suffix of 'T' indicates the vehicle tumbled. Successful launches are indicated by a blank in the Response-Mode column. The seventh column indicates the operational flight phase during which the failure occurred. The last column indicates whether the vehicle configuration is representative of those being launched today. Launches through sequence number 337 were used in the filtering process to estimate failure rate.

Table 45. Titan Launch History

| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | Weapons System (WS) | 12/20/58 | I (A-1) | ER | | | 0 |
| 2 | WS | 02/03/59 | I (A-2) | ER | | | 0 |
| 3 | WS | 02/06/59 | I (A-3) | ER | | | 0 |
| 4 | WS | 02/25/59 | I (A-5) | ER | | | 0 |
| 5 | WS | 04/03/59 | I (A-4) | ER | | | 0 |
| 6 | WS | 05/04/59 | I (A-6) | ER | | | 0 |
| 7 | WS | 08/14/59 | I (B-5) | ER | 1 | 1 | 0 |
| 8 | WS | 12/12/59 | I (C-3) | ER | 1 | 1 | 0 |
| 9 | WS | 02/02/60 | I (B-7A) | ER | | | 0 |
| 10 | WS | 02/05/60 | I (C-4) | ER | 4T | 1 | 0 |
| 11 | WS | 02/24/60 | I (G-4) | ER | | | 0 |
| 12 | WS | 03/08/60 | I (C-1) | ER | 4 | 2 | 0 |
| 13 | WS | 03/22/60 | I (G-5) | ER | 4 | 2.5 | 0 |
| 14 | WS | 04/08/60 | I (C-5) | ER | 4 | 2 | 0 |
| 15 | WS | 04/21/60 | I (G-6) | ER | | | 0 |
| 16 | WS | 04/28/60 | I (C-6) | ER | | | 0 |
| 17 | WS | 05/13/60 | I (G-7) | ER | | | 0 |
| 18 | WS | 05/27/60 | I (G-9) | ER | | | 0 |
| 19 | WS | 06/24/60 | I (G-10) | ER | | | 0 |
| 20 | WS | 07/01/60 | I (J-2) | ER | 2 | 1 | 0 |
| 21 | WS | 07/28/60 | I (J-4) | ER | 4 | 1 | 0 |
| 22 | WS | 08/10/60 | I (J-7) | ER | 4 | 2 | 0 |
| 23 | WS | 08/30/60 | I (J-5) | ER | | | 0 |
| 24 | WS | 09/28/60 | I (J-8) | ER | | | 0 |
| 25 | WS | 09/29/60 | I (G-8) | ER | 4 | 1 | 0 |
| 26 | WS | 10/07/60 | I (J-3) | ER | | | 0 |
| 27 | WS | 10/24/60 | I (J-6) | ER | | | 0 |
| 28 | WS | 12/20/60 | I (J-9) | ER | 4 | 2 | 0 |
| 29 | WS | 01/20/61 | I (J-10) | ER | 4 | 2 | 0 |
| 30 | WS | 02/10/61 | I (J-11) | ER | | | 0 |

9/10/96  &nbsp
