| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 261 | AFSC | 09/15/76 | IIIB/AGENA D (24B-17) | WR | NA | 2 | 1 |
| 262 | AFSC | 12/19/76 | IIID (23D-15) | WR | | | 1 |
| 263 | SV-DSP | 02/06/77 | IIIC-23/Trans. | ER | | | 1 |
| 264 | AFSC | 03/13/77 | IIIB/AGENA D (24B-19) | WR | | | 1 |
| 265 | SV-DSCS | 05/12/77 | IIIC-32/Trans. | ER | | | 1 |
| 266 | AFSC | 06/27/77 | IIID (23D-17) | WR | | | 1 |
| 267 | SV-VOYAGER (TC-7) | 08/20/77 | IIIE/CENT. D-1T (23E-7) | ER | | | 1 |
| 268 | SV-VOYAGER (TC-6) | 09/05/77 | IIIE/CENT. D-1T (23E-6) | ER | NA | 2 | 1 |
| 269 | AFSC | 09/23/77 | IIIB/AGENA D (24B-23) | WR | | | 1 |
| 270 | AFSC | 02/24/78 | IIIB/AGENA D (34B-2) | WR | | | 1 |
| 271 | AFSC | 03/16/78 | IIID (23D-20) | WR | | | 1 |
| 272 | SV-DSCS | 03/25/78 | IIIC-35/Trans. | ER | 4T | 2 | 1 |
| 273 | SV-DOD | 06/10/78 | IIIC-33/Trans. | ER | | | 1 |
| 274 | AFSC | 06/14/78 | IIID (23D-18) | WR | | | 1 |
| 275 | AFSC | 08/04/78 | IIIB/AGENA D (34B-7) | WR | | | 1 |
| 276 | SV-DSCS | 12/13/78 | IIIC-36/Trans. | ER | | | 1 |
| 277 | AFSC | 03/16/79 | IIID (23D-21) | WR | | | 1 |
| 278 | AFSC | 05/28/79 | IIIB/AGENA D (24B-25) | WR | | | 1 |
| 279 | SV-DSP | 06/10/79 | IIIC-23C-13/Trans. | ER | | | 1 |
| 280 | SV-DOD | 10/01/79 | IIIC-23C-16/Trans. | ER | | | 1 |
| 281 | SV-DSCS | 11/21/79 | IIIC-23C-19/Trans. | ER | | | 1 |
| 282 | AFSC | 02/06/80 | IIID (23D-19) | WR | | | 1 |
| 283 | AFSC | 06/18/80 | IIID (23D-16) | WR | | | 1 |
| 284 | AFSC | 12/13/80 | IIIB/AGENA D (34B-3) | WR | | | 1 |
| 285 | AFSC | 02/28/81 | IIIB/AGENA D (24B-24) | WR | | | 1 |
| 286 | SV-DOD | 03/16/81 | IIIC-23C-22/Trans. | ER | | | 1 |
| 287 | AFSC | 04/24/81 | IIIB/AGENA D (34B-8) | WR | | | 1 |
| 288 | AFSC | 09/03/81 | IIID (23D-22) | WR | | | 1 |
| 289 | SV-DOD | 10/31/81 | IIIC-23C-21/Trans. | ER | | | 1 |
| 290 | AFSC | 01/21/82 | IIIB/AGENA D (24B-26) | WR | | | 1 |
| 291 | SV-DOD | 03/06/82 | IIIC-23C-20/Trans. | ER | | | 1 |
| 292 | AFSC | 05/11/82 | IIID (23D-24) | WR | | | 1 |
| 293 | SV-DSCS | 10/30/82 | 34D-01/IUS | ER | | | 1 |
| 294 | AFSC | 11/17/82 | IIID (23D-23) | WR | | | 1 |
| 295 | AFSC | 04/15/83 | IIIB/AGENA D (24B-27) | WR | | | 1 |
| 296 | AFSC | 06/20/83 | 34D-5 | WR | | | 1 |
| 297 | AFSC | 07/31/83 | IIIB/AGENA D (34B-9) | WR | | | 1 |
| 298 | SV-DOD | 01/31/84 | 34D-10/Trans. | ER | | | 1 |
| 299 | SV-DOD | 04/14/84 | 34D-11/Trans. | ER | | | 1 |
| 300 | AFSC | 04/17/84 | IIIB/AGENA D (24B-28) | WR | | | 1 |
| 301 | AFSC | 06/25/84 | 34D-4 | WR | | | 1 |
| 302 | AFSC | 08/28/84 | IIIB/AGENA D (34B-4) | WR | | | 1 |
| 303 | AFSC | 12/04/84 | 34D-6 | WR | | | 1 |
| 304 | SV-DOD | 12/22/84 | 34D-13/Trans. | ER | | | 1 |
| 305 | AFSC | 02/07/85 | IIIB/AGENA D (34B-10) | WR | | | 1 |
| 306 | AFSC | 08/28/85 | 34D-7 | WR | 4T | 1 | 1 |

9/10/96  &nbsp
