Mode column. The seventh column indicates the operational flight phase during which the failure occurred. The last column indicates whether the vehicle configuration is representative of those being launched today.

Table 46. Thor Launch History

| No. | Mission/ID | Launch Date | Vehicle Configuration | Test Range | Response Mode | Flight Phase | Rep. Conf. |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1 | Weapons System (WS) | 01/25/57 | 101 | ER | 1 | 1 | 0 |
| 2 | WS | 04/19/57 | 102 | ER | 4 | 1 | 0 |
| 3 | WS | 05/21/57 | 103 | ER | 1 | 1 | 0 |
| 4 | WS | 08/30/57 | 104 | ER | 4T | 1 | 0 |
| 5 | WS | 09/20/57 | 105 | ER | 4 | 1 | 0 |
| 6 | WS | 10/03/57 | 107 | ER | 1 | 1 | 0 |
| 7 | WS | 10/11/57 | 108 | ER | 4 | 1 | 0 |
| 8 | WS | 10/24/57 | 109 | ER | | | 0 |
| 9 | WS | 12/07/57 | 112 | ER | 5 | 1 | 0 |
| 10 | WS | 12/19/57 | 113 | ER | 4 | 1.5 | 0 |
| 11 | WS | 01/28/58 | 114 | ER | 5 | 1 | 0 |
| 12 | WS | 02/28/58 | 120 | ER | 4 | 1 | 0 |
| 13 | WS | 04/19/58 | 121 | ER | 1 | 1 | 0 |
| 14 | WS | 04/23/58 | ABLE I (116) | ER | 4 | 1 | 0 |
| 15 | WS | 06/04/58 | 115 | ER | | | 0 |
| 16 | WS | 06/13/58 | 122 | ER | | | 0 |
| 17 | WS | 07/11/58 | ABLE I (118) | ER | | | 0 |
| 18 | WS | 07/12/58 | 123 | ER | 4 | 1 | 0 |
| 19 | WS | 07/23/58 | ABLE I (119) | ER | | | 0 |
| 20 | WS | 07/26/58 | 126 | ER | 4 | 1 | 0 |
| 21 | WS | 08/06/58 | 117 | ER | | | 0 |
| 22 | PIONEER | 08/17/58 | ABLE I (127) | ER | 4 | 1 | 0 |
| 23 | PIONEER-I | 10/11/58 | ABLE I (130) | ER | NA | 2 & 5 | 0 |
| 24 | WS | 11/05/58 | 138 | ER | 5 | 1 | 0 |
| 25 | PIONEER-II | 11/08/58 | ABLE I (129) | ER | 4 | 3 | 0 |
| 26 | WS | 11/26/58 | 140 | ER | 5 | 1 | 0 |
| 27 | WS | 12/05/58 | 145 | ER | 4 | 1 | 0 |
| 28 | WS | 12/16/58 | 146 | ER | 4 | 1 | 0 |
| 29 | WS | 12/30/58 | 149 | ER | 2 | 1 | 0 |
| 30 | WS | 01/23/59 | ABLE II (128) | ER | 4 | 1.5 | 0 |
| 31 | WS | 01/30/59 | 154 | ER | 4 | 1 | 0 |
| 32 | WS | 02/28/59 | ABLE II (131) | ER | 4 | 2 | 0 |
| 33 | WS | 03/21/59 | ABLE II (132) | ER | | | 0 |
| 34 | WS | 03/21/59 | 158 | ER | | | 0 |
| 35 | WS | 03/26/59 | 162 | ER | | | 0 |
| 36 | WS | 04/07/59 | ABLE II (133) | ER | | | 0 |
| 37 | WS | 04/22/59 | 176 | ER | | | 0 |
| 38 | WS | 04/24/59 | 164 | ER | | | 0 |
| 39 | WS | 05/12/59 | 187 | ER | | | 0 |
| 40 | WS | 05/21/59 | ABLE II (135) | ER | | | 0 |
| 41 | WS | 05/22/59 | 184 | ER | | | 0 |

9/10/96 165 RTI
