# LAUNCH FACILITY GUIDE

| BLDG NMBR | PRESENT DESIGNATION | FORMER DESIGNATION | BLDG NMBR | PRESENT DESIGNATION | FORMER DESIGNATION | BLDG NMBR | PRESENT DESIGNATION | FORMER DESIGNATION |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| NONE | PALC-B | N/A | 1788 | BMRS A-3 | 576 A-3 | 1920 | 576-D | N/A |
| 390 | SLC-6 | N/A | | | 4300 A-3 | 1935 | 576-G | OSTF-2 |
| 580 | SLC-5 | PALC-D | | | ABRES A-3 | 1962 | LF-21 | N/A |
| 589 | PLC-C | PALC-C | 1790 | BMRS A-2 | 576 A-2 | 1963 | LF-10 | LF-22 |
| 715 | SLC-4E | PALC-2-4 | | | 4300 A-2 | 1964 | LF-23 | N/A |
| 738 | SLC-4W | PALC-2-3 | | | ABRES A-2 | 1965 | LF-24 | N/A |
| 751 | SLC-3E | PALC-1-2 | 1797 | BMRS A-1 | 576 A-1 | 1966 | LF-25 | N/A |
| 770 | SLC-3W | PALC-1-1 | | | 4300 A-1 | 1967 | LF-26 | N/A |
| 939 | PLC-A | PALC-A | | | ABRES A-1 | 1971 | LF-02 | 394 A-1 |
| 1050 | 395-C | N/A | 1799 | 395-B | N/A | 1972 | LF-03 | 394 A-2 |
| 1520 | 395-D | N/A | 1815 | BOMARC-1 | N/A | 1976 | LF-04 | 394 A-3 |
| 1611 | 576-E | N/A | 1817 | BOMARC-2 | N/A | 1977 | LF-05 | 394 A-4 |
| 1620 | SLC-2E | 75-1-1 | 1820 | ABRES B-3 | 576 B-3 | 1980 | LF-06 | 394 A-5 |
| 1623 | SLC-2W | 75-1-2 | 1825 | ABRES B-2 | 576 B-2 | 1981 | LF-07 | 394 A-6 |
| 1635 | SLC-1W | 75-3-4 | 1835 | ABRES B-1 | 576 B-1 | 1986 | LF-08 | 394 A-7 |
| 1642 | SLC-1E | 75-3-5 | 1836 | 576-F | OSTF-1 | 1993 | LF-09 | N/A |
| 1651 | SLC-10E | 75-2-7 | 1840 | TP-01 | N/A | | | |
| | | LE-7 | 1861 | OSTF | N/A | | | |
| 1658 | SLC-10W | 75-2-6 | 1875 | 395 A-1 | N/A | | | |
| | | 4300 B-6 | 1877 | 395 A-2 | N/A | | | |
| | | LE-6 | 1879 | 395 A-3 | N/A | | | |
| 1661 | LE-8 | 75-2-8 | 1885 | SLTF | N/A | | | |
| 1681 | 4300 C | N/A | 1895 | 576-C | N/A | | | |

viii
