ANNUAL LAUNCH SUMMARY BY BOOSTER

Chart III
1999 - 2018

| LAUNCH VEHICLE | 99 | 00 | SUB TOTAL | GRAND TOTAL |
| :--- | :---: | :---: | :---: | :---: |
| AMROC | | | | 1 |
| ARGO-8 | | | | 3 |
| ASTRID | | | | 1 |
| ASTROBEE 1500 | | | | 3 |
| ATHENA II (Formerly LLV) | 2 | | 2 | 4 |
| ATLAS D | | | | 91 |
| ATLAS E | | | | 39 |
| ATLAS F | | | | 80 |
| ATLAS H | | | | 5 |
| ATLAS/AGENA A | | | | 2 |
| ATLAS/AGENA B | | | | 16 |
| ATLAS/AGENA D | | | | 43 |
| ATLAS/BURNER II | | | | 2 |
| ATLAS/PRIME | | | | 3 |
| ATLAS IIAS | 1 | | 1 | 1 |
| BLACK BRANT III | | | | 2 |
| BOMARC A | | | | 56 |
| BOMARC B | | | | 31 |
| CASTOR/SCRAMJET | | | | 1 |
| DAC ROC | | | | 2 |
| DEACON ARROW II | | | | 4 |
| DELTA | | | | 7 |
| DELTA II | 2 | | 2 | 16 |
| GLCM | | | | 1 |
| HONEST JOHN/NIKE/NIKE | | | | 3 |
| KIVA/HOPA | | | | 9 |
| MINOTAUR | 1 | | 1 | 1 |
| MINUTEMAN A (I) | | | | 50 |
| MINUTEMAN B (I) | | | | 267 |
| MINUTEMAN F (II) | 1 | 1 | 2 | 167 |
| MINUTEMAN G (III) | 4 | | 4 | 230 |
| NIKE/AEROBEE | | | | 4 |
| NIKE/ASP | | | | 12 |
| NIKE/CAJUN | | | | 3 |
| NIKE/JAVELIN | | | | 2 |
| NIKE/VIPER I | | | | 4 |
| PAIUTE TOMAHAWK | | | | 1 |
| PEACEKEEPER | 1 | | 1 | 46 |
| PEGASUS XL | 2 | | 2 | 13 |
| SCOUT | | | | 69 |
| SCOUT JUNIOR | | | | 11 |
| SEAGULL | | | | 1 |
| SERGEANT/LANCEA | | | | 2 |
| SMALL ICBM | | | | 2 |
| TAT/AGENA B | | | | 1 |
| TAT/AGENA D | | | | 63 |
| TAURUS | 1 | | 1 | 4 |
| TERRIER/ASP IV | | | | 2 |
| THOR (IRBM) | | | | 22 |
| THOR/ABLE-STAR | | | | 8 |
| THOR/AGENA A | | | | 15 |
| THOR/AGENA B | | | | 41 |
| THOR/AGENA D | | | | 22 |
| THOR/ALTAIR | | | | 6 |
| THOR/BLOCK 5D-1 | | | | 5 |
| THOR/BURNER II | | | | 12 |
| THOR/BURNER IIA | | | | 8 |
| THOR/DELTA | | | | 33 |
| THORAD/AGENA D | | | | 43 |
| TITAN I | | | | 20 |
| TITAN II | | | | 58 |
| TITAN II SLV | 2 | | 2 | 9 |
| TITAN IIIB/AGENA D | | | | 68 |
| TITAN IIID | | | | 22 |
| TITAN 34D | | | | 7 |
| TITAN IV | 1 | | 1 | 9 |
| UTE/TOMAHAWK | | | | 1 |
| **SUB TOTAL** | **17** | **2** | **19** | **1,790** |

NOTES: The Athena rocket was formerly called LMLV (Lockheed Martin Launch Vehicle). The name was changed in September 1997. Nicknamed Minotaur, it was officially called, "Orbital Suborbital Program Space Vehicle."

xiii
