| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 134. | 26 Apr 62 | BLUE SCOUT I | 9201 | PALC-D | SCOUT | SPACE | 1 | AFSC | 62 |
| 135. | 27 Apr 62 | BLUE BALL | 5201 | 576 B-2 | ATLAS D | DASO | 20 | SAC | 17 |
| 136. | 28 Apr 62 | TOTAL TIME | 3201 | 75-3-4 | THOR/AGENA B | SPACE | 26 | AFSC | 63 |
| 137. | 4 May 62 | SILVER TOP | 7201 | 395 A-1 | TITAN I | R&D | 5 | AFSC | 64 |
| 138. | 11 May 62 | CANNONBALL FLYER | 0122 | 576 B-3 | ATLAS D | DASO | 21 | SAC | 18 |
| 139. | 15 May 62 | HOLE PUNCH | 2201 | 75-3-5 | THOR/AGENA B | SPACE | 27 | AFSC | 65 |
| 140. | 23 May 62 | BLUE SCOUT II | 1201 | PALC-D | SCOUT | SPACE | 2 | AFSC | 66 |
| 141. | 29 May 62 | LEAK PROOF | 6201 | 75-1-1 | THOR/AGENA B | SPACE | 28 | AFSC | 67 |
| 142. | 31 May 62 | N/A | 5201 | PALC-A | SCOUT JR | SPACE PROBE | 2 | AFSC | 68 |
| 143. | 1 Jun 62 | KNOTTY PINE | 8201 | 75-3-4 | THOR/AGENA B | SPACE | 29 | AFSC | 69 |
| 144. | 17 Jun 62 | RUBBER GUN | 9201 | PALC-1-1 | ATLAS/AGENA B | SPACE | 9 | AFSC | 70 |
| 145. | 18 Jun 62 | TASTY TREAT | 0201 | 75-3-5 | THOR/AGENA B | SPACE | 30 | AFSC | 71 |
| 146. | 18 Jun 62 | BLAZING CIDERS | 9201 | LE-8 | THOR | CTL | 22 | RAF | 21 |
| 147. | 22 Jun 62 | TIGHT SKIRT | 5201 | 75-3-4 | THOR/AGENA B | SPACE | 31 | AFSC | 72 |
| 148. | 26 Jun 62 | ALL JAZZ | 7203 | 576 B-3 | ATLAS D | DASO | 22 | SAC | 19 |
| 149. | 27 Jun 62 | TRIAL TRACK | 7201 | 75-1-1 | THOR/AGENA D | SPACE | 1 | AFSC | 73 |
| 150. | 9 Jul 62 | N/A | • | PALC-A | ARGO D-8 | SPACE PROBE | 2 | AEC | 12 |
| 151. | 9 Jul 62 | N/A | • | PALC-B | ASTROBEE 1500 | SPACE PROBE | 3 | AEC | 13 |
| 152. | 12 Jul 62 | LONG LADY | 7201 | 576 B-2 | ATLAS D | DASO | 23 | SAC | 20 |

(*) Data not available

PAGE 8
