| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND | |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 230. | 8 May 63 | FINE SHOW | 0963 | 394 A-5 | MINUTEMAN A | R&D | 7 | AFSC | 131 | |
| 231. | 9 May 63 | DAMP CLAY | 1105 | PALC-1-2 | ATLAS/AGENA B | SPACE | 14 | AFSC | 132 | |
| 232. | 11 May 63 | N/A | 1169 | PALC-B | KIVA/HOPI | SPACE PROBE | 9 | CRL | 11 | |
| 233. | 13 May 63 | FLYING FROG | 1085 | 395-D | TITAN II | R&D | 3 | AFSC | 133 | |
| 234. | 17 May 63 | N/A | 1110 | PALC-A | SCOUT JR | SPACE PROBE | 8 | AFSC | 134 | |
| 235. | 18 May 63 | GATE LATCH | 0924 | 75-3-5 | TAT/AGENA D | SPACE | 3 | AFSC | 135 | |
| 236. | 24 May 63 | HEY DAY | 1144 | 394 A-6 | MINUTEMAN B | R&D | 1 | AFSC | 136 | |
| 237. | 4 Jun 63 | DOCK HAND | 0765 | OSTF-1 | ATLAS E | R&D | 6 | AFSC | 137 | |
| 238. | 12 Jun 63 | HARPOON GUN | 1026 | 576 A-3 | ATLAS D | NIKE TARGET | 39 | SAC | 38 | |
| 239. | 12 Jun 63 | GREEN CASTLE | 0954 | 75-3-4 | TAT/AGENA D | SPACE | 4 | AFSC | 138 | ← |
| 240. | 12 Jun 63 | BIG FOUR | 1240 | PALC-1-2 | ATLAS/AGENA B | SPACE | 15 | AFSC | 139 | ← |
| 241. | 15 Jun 63 | BLUE SCOUT VIII | 1292 | PALC-D | SCOUT | SPACE | 8 | AFSC | 140 | ← |
| 242. | 15 Jun 63 | BUSY FLY | 1341 | 75-1-1 | THOR/AGENA D | SPACE | 13 | AFSC | 141 | ← |
| 243. | 18 Jun 63 | WAR AXE | 1286 | 394 A-3 | MINUTEMAN A | DASO | 8 | SAC | 39 | |
| 244. | 20 Jun 63 | THREAD NEEDLE | 1322 | 395-C | TITAN II | R&D | 4 | AFSC | 142 | ← |
| 245. | 26 Jun 63 | CALICO MISS | 0999 | 75-1-2 | TAT/AGENA D | SPACE | 5 | AFSC | 143 | ← |
| 246. | 28 Jun 63 | TRIM CHIEF | 1382 | 394 A-1 | MINUTEMAN A | DASO | 9 | SAC | 40 | |
| 247. | 29 Jun 63 | BABY BLUE | 1440 | 75-3-5 | TAT/AGENA B | SPACE | 1 | AFSC | 144 | ← |
| 248. | 1 Jul 63 | N/A | 1428 | PALC-A | BLACK BRANT III | SPACE PROBE | 1 | NAVY | 15 | |
| 249. | 3 Jul 63 | GO BOY | 1335 | 576-C | ATLAS E | DASO | 7 | SAC | 41 | |

PAGE 13
