| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 270. | 6 Sep 63 | FIXED FEE | 1947 | PALC-2-3 | ATLAS/AGENA D | SPACE | 2 | AFSC | 153 |
| 271. | 11 Sep 63 | COOL WATER IV | 1836 | 576 B-1 | ATLAS D | ST | 43 | SAC | 54 |
| 272. | 17 Sep 63 | DAILY MAIL | 1938 | 395 A-2 | TITAN I | DASO | 16 | SAC | 55 |
| 273. | 23 Sep 63 | TAR TOP | 1792 | 395-D | TITAN II | R&D | 5 | AFSC | 154 |
| 274. | 23 Sep 63 | FELLOW KING | 1353 | 75-1-2 | TAT/AGENA D | SPACE | 8 | AFSC | 155 |
| 275. | 25 Sep 63 | FILTER TIP | 2022 | 576-C | ATLAS E | DASO | 11 | SAC | 56 |
| 276. | 26 Sep 63 | STATE PARK | 2342 | 394 A-7 | MINUTEMAN B | R&D | 3 | AFSC | 156 |
| 277. | 27 Sep 63 | BLUE SCOUT IX | 1610 | PALC-D | SCOUT | SPACE | 9 | AFSC | 157 |
| 278. | 28 Sep 63 | DUCK TAIL | 1968 | 75-1-1 | THOR/ABLE-STAR | SPACE | 1 | AFSC | 158 |
| 279. | 3 Oct 63 | HOT RUM | 1856 | 576-G | ATLAS F | R&D | 7 | AFSC | 159 |
| 280. | 4 Oct 63 | GOLD DUKE | 2032 | 394 A-6 | MINUTEMAN B | R&D | 4 | AFSC | 160 |
| 281. | 7 Oct 63 | COOL WATER V | 2219 | 576 B-3 | ATLAS D | ST | 44 | SAC | 57 |
| 282. | 17 Oct 63 | CEDAR LAKE | 2222 | 394 A-3 | MINUTEMAN A | OT | 14 | SAC | 58 |
| 283. | 24 Oct 63 | N/A | 2522 | PALC-A | DAC ROC | SPACE PROBE | 1 | NAVY | 16 |
| 284. | 25 Oct 63 | HAY BAILER | 2196 | PALC-2-3 | ATLAS/AGENA D | SPACE | 3 | AFSC | 161 |
| 285. | 29 Oct 63 | MARK DOWN | 2437 | 75-3-4 | TAT/AGENA D | SPACE | 9 | AFSC | 162 |
| 286. | 31 Oct 63 | DRAG CHUTE | 2313 | 394 A-5 | MINUTEMAN A | OT | 15 | SAC | 59 |
| 287. | 2 Nov 63 | HARD LINE | 2271 | 394 A-2 | MINUTEMAN A | OT | 16 | SAC | 60 |
| 288. | 4 Nov 63 | HICKORY HOLLOW | 2365 | 4300 A-1 | ATLAS D | ABRES | 45 | SAC | 61 |
| 289. | 7 Nov 63 | N/A | 2548 | PALC-A | BLACK BRANT III | SPACE PROBE | 2 | NAVY | 17 |

PAGE 15
