| LAUNCH SEQ | DATE | NICKNAME | OP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND | MARGINALIA |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 430. | 8 Jan 65 | PILOT LIGHT | 6433 | 576-G | ATLAS F | ST | 13 | SAC | 140 | |
| 431. | 12 Jan 65 | PENSIL SET | 6973 | 576-B1 | ATLAS D | ABRES | 54 | SAC | 141 | |
| 432. | 14 Jan 65 | WEST WIND III | 6765 | 395 A-3 | TITAN I | ST | 19 | SAC | 142 | |
| 433. | 15 Jan 65 | BUCKET FACTORY | 3928 | 75-3-5 | TAT/AGENA D | SPACE | 13 | AFSC | 220 | |
| 434. | 18 Jan 65 | ASTRAL LAMP | 7040 | 4300 B-6 | THOR/ALTAIR | SPACE | 1 | SAC | 143 | |
| 435. | 20 Jan 65 | PURPLE LIGHT | 6751 | LF-03 | MINUTEMAN B | OT | 41 | SAC | 144 | |
| 436. | 21 Jan 65 | BEAVERS DAM | 6967 | 576 B-3 | ATLAS D | ABRES | 55 | SAC | 145 | |
| 437. | 23 Jan 65 | SAND LARK | 4703 | PALC-2-3 | ATLAS/AGENA D | SPACE | 15 | AFSC | 221 | |
| 438. | 2 Feb 65 | RED BRIDGE | 7068 | LF-02 | MINUTEMAN B | OT | 42 | SAC | 146 | |
| 439. | 2 Feb 65 | SIDE TRIP | 7065 | LF-08 | MINUTEMAN B | OT | 43 | SAC | 147 | |
| 440. | 8 Feb 65 | PRONTO ROSE | 7094 | LF-09 | MINUTEMAN B | OT | 44 | SAC | 148 | |
| 441. | 25 Feb 65 | BOAT CAMP | 4782 | PALC-1-1 | TAT/AGENA D | SPACE | 32 | AFSC | 222 | |
| 442. | 27 Feb 65 | DRAG BAR | 7257 | 576 A-1 | ATLAS D | ABRES | 56 | SAC | 149 | |
| 443. | 1 Mar 65 | GOLDEN ROSE | 7308 | LF-08 | MINUTEMAN B | OT | 45 | SAC | 150 | |
| 444. | 2 Mar 65 | PORK BARREL | 7184 | 576 A-3 | ATLAS D | ABRES | 57 | SAC | 151 | |
| 445. | 5 Mar 65 | WEST WIND II | 6759 | 395 A-2 | TITAN I | ST | 20 | SAC | 152 | |
| 446. | 8 Mar 65 | DOCK BELL | 7301 | LF-07 | MINUTEMAN B | OT | 46 | SAC | 153 | |
| 447. | 9 Mar 65 | DEUCE SPOT | 4988 | 75-1-2 | THOR/AGENA D | SPACE | 20 | AFSC | 223 | -> |
| 448. | 11 Mar 65 | BUSH CATTLE | 7087 | 75-1-1 | THOR/ABLE-STAR | SPACE | 6 | AFSC | 224 | -> |
| 449. | 12 Mar 65 | SHIP RAIL | 4920 | PALC-2-3 | ATLAS/AGENA D | SPACE | 16 | AFSC | 225 | -> |

PAGE 23
