| LAUNCH SEQ | DATE | NICKNAME | CP # | FACILITY | VEHICLE TYPE | PROGRAM | CUM BY BOOSTER | COMMAND | CUM BY COMMAND |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| 1527. | 25 Jun 83 | GLORY TRIP 94GM | 2583 | LF-09 | MINUTEMAN G | OT PHASE II | 149 | SAC | 568 |
| 1528. | 27 Jun 83 | STP 83-1 | 7345 | SLC-5 | SCOUT | SPACE | 56 | NASA | 53 |
| 1529. | 14 Jul 83 | NAVSTAR 8 | 1204 | SLC-3W | ATLAS E | SPACE | 21 | AFSC | 731 |
| 1530. | 31 Jul 83 | N/A | 6849 | SLC-4W | TITAN IIIB/AGENA D | SPACE | 64 | AFSC | 732 |
| 1531. | 21 Sep 83 | GLORY TRIP 96GM | 4161 | LF-08 | MINUTEMAN G | OT PHASE II | 150 | SAC | 569 |
| 1532. | 21 Sep 83 | GLORY TRIP 97GM | 9817 | LF-09 | MINUTEMAN G | OT PHASE II | 151 | SAC | 570 |
| 1533. | 28 Sep 83 | GLORY TRIP 145MS | 0777 | LF-04 | MINUTEMAN F | OT PHASE II | 157 | SAC | 571 |
| 1534. | 14 Oct 83 | FTM-2 | 2543 | TP-01 | PEACEKEEPER | DT&E PHASE I | 2 | AFSC | 733 |
| 1535. | 17 Nov 83 | DMSP F-7 | 8307 | SLC-3W | ATLAS E | SPACE | 22 | AFSC | 734 |
| 1536. | 22 Nov 83 | GLORY TRIP 98GB | 5214 | LF-26 | MINUTEMAN G | OT PHASE II | 152 | SAC | 572 |
| 1537. | 16 Dec 83 | STREP-12A | 8011 | LF-03 | MINUTEMAN B | RSLP | 253 | AFSC | 735 |
| 1538. | 20 Dec 83 | FTM-3 | 8231 | TP-01 | PEACEKEEPER | DT&E PHASE I | 3 | AFSC | 736 |
| 1539. | 25 Jan 84 | GLORY TRIP 99GM | 9935 | LF-08 | MINUTEMAN G | OT PHASE II | 153 | SAC | 573 |
| 1540. | 25 Jan 84 | GLORY TRIP 100GM | 7565 | LF-09 | MINUTEMAN G | OT PHASE II | 154 | SAC | 574 |
| 1541. | 5 Feb 84 | N/A | 9959 | SLC-3E | ATLAS H | SPACE | 3 | AFSC | 737 |
| 1542. | 29 Feb 84 | GLORY TRIP 146MS | 2154 | LF-04 | MINUTEMAN F | OT PHASE II | 158 | SAC | 575 |
| 1543. | 1 Mar 84 | LANDSAT D/PRIME | 6551 | SLC-2W | DELTA | SPACE | 6 | NASA | 54 |
| 1544. | 30 Mar 84 | FTM-4 | 3176 | TP-01 | PEACEKEEPER | DT&E PHASE I | 4 | AFSC | 738 |
| 1545. | 8 Apr 84 | GLORY TRIP 101GB | 2927 | LF-26 | MINUTEMAN G | OT PHASE II | 155 | SAC | 576 |
| 1546. | 8 Apr 84 | GLORY TRIP 102GM | 0060 | LF-09 | MINUTEMAN G | OT PHASE II | 156 | SAC | 577 |

PAGE 78
