DECLASSIFIED
CHECK-LIST - UNIDENTIFIED FLYING OBJECTS
Incident #  6


Date  4 July 47


Time  1305


Location  Milwaukie, Oregon


Name of observer  Sergeant Claude Cross


Occupation of observer  Oregon State Police Officer


Address of observer  District #1, Milwaukie, Oregon


Place of observation  Police station


Number of objects  3


Distance of object from observer  N/S


Time in sight  N/S


Altitude  Undetermined


Speed  (?) Terrific


Direction of flight  Northwest


Tactics  Three discs following each other at terrific speed


Sound  None


Size  N/S


Color  Whitish brown glint as the sun was reflected from them


Shape  Disc


Odor detected  N/S


Apparent construction  N/S


Exhaust trails  N/S


Weather conditions  N/S


Effect on clouds  N/S


Sketches or photographs  None


Manner of disappearance  N/S


Remarks:  (over)


RESTRICTED
16
