CONFIDENTIAL
CHECK-LIST - UNIDENTIFIED FLYING OBJECTS


Date      24 June 47                                      Incident # 68


Time      afternoon


Location  Cascade Mts. (Portland, Oregon


Name of observer     Fred M. Johnson


Occupation of observer     Prospector


Address of observer     Globe Hotel, 106 N. W. 1st Ave, Portland,


Place of observation     Cascade Mts


Number of objects     5 or 6


Distance of object from observer     overhead at 1,000 ft


Time in sight     45 - 60 seconds


Altitude     6,000 ft from sea level


Speed     N/S


Direction of flight     SE


Tactics     banking


Sound     none


Size     about 30' dia


Color     N/S


Shape     round with tail


Odor detected     N/S


Apparent construction     N/S


Exhaust trails     N/S


Weather conditions     Clear


Effect on clouds     N/S


Sketches or photographs     None


Manner of disappearance     N/S


Remarks:     (over)


CONFIDENTIAL
144
