Featured,Redaction,Release Date,Title,Type,Video Pairing,PDF Pairing,Description Blurb,DVIDS Video ID,Video Title,Agency,Incident Date,Incident Location,PDF | Image Link,Modal Image,Image Alt Text,Image VIRIN,,,,,,,,,,,,
YES,,8/7/26,"DOW-UAP-D098, Film Analysis of Unidentified Objects, 1953",PDF,,,"This file contains a memorandum relating to the U.S. Naval Photographic Interpretation Center’s assessment of two films allegedly depicting unidentified airborne objects, captured in Montana and Utah in 1950 and 1952, respectively. The file documents the Center’s analytic process, assumptions that constrained its confidence level, tentative conclusions, and recommendations for future research. The Center assessed, generally, that the objects depicted in the film demonstrated characteristics that were inconsistent with those of natural phenomena or commonly known aerospace technologies. The memorandum documents the Center’s recommendation for a more well-resourced investigation to corroborate its presumptive findings, citing a lack of funding and personnel. The accompanying charts compare the film’s luminosity with the apparent angular size of the phenomena, using contemporary mathematical modeling and photogrammetric analysis techniques. ",,,Department of War,"1950, 1952","Montana, Utah",https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/DOW-UAP-D098_Film-Analysis-of-Unidentified-Objects_1953.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/DOW-UAP-D098_Film-Analysis-of-Unidentified-Objects_1953.jpg,A request for the U.S. Naval Photographic Interpretation Center to assess a film allegedly depicting unidentified airborne objects.,260807-D-D0360-1087,,,,,,,,,,,,
YES,,8/7/26,"FBI-UAP-D025, Digital Rendering, “Airborne Triangle,” 2002 ",IMG,,FBI-UAP-024,"This image is an artistic interpretation of a reported incident above Bagram Air Force Base, Afghanistan, potentially involving unidentified anomalous phenomena (UAP) in June 2002. This image is based upon a first-hand description provided by a former military service member, as described in FBI-UAP-D024. The Federal Bureau of Investigation prepared this digital rendering as a visual aid in 2026 in support of the PURSUE initiative.",,,FBI,2002,Afghanistan,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D025_Digital-Rendering_Airborne-Triangle_2002.jpg,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D025_Digital-Rendering_Airborne-Triangle_2002.jpg,"A digital rendering of a large, dark triangle against a starry night sky.",260807-O-D0360-1145,,,,,,,,,,,,
YES,,8/7/26,"FBI-UAP-D027, Digital Rendering, “Dark Translucent Triangle,” 2023",PDF,,FBI-UAP-026,"This image is an artistic interpretation of a reported incident near Colorado Springs, Colorado, potentially involving unidentified anomalous phenomena (UAP) in October 2023. This image is based upon a first-hand description provided by a former Department of War employee, as described in FBI-UAP-D026. The Federal Bureau of Investigation prepared this digital rendering in 2026 as a visual aid in support of the PURSUE initiative. ",,,FBI,2023,"Colorado Springs, Colorado",https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D027_Digital-Rendering_Dark-Translucent-Triangle_2023.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D027_Digital-Rendering_Dark-Translucent-Triangle_2023.jpg,A digital rendering of two figures looking over a fence at a dark object in the night sky.,260807-O-D0360-1147,,,,,,,,,,,,
YES,,8/7/26,"FBI-UAP-D029, Digital Rendering, “Dark Triangle with Lights,” 2011",IMG,,FBI-UAP-D028,"This image is an artistic interpretation of a reported incident potentially involving unidentified anomalous phenomena (UAP) in June or July of 2011. This image is based upon a first-hand description provided by two former U.S. military service members, as described in FBI-UAP-D028. The Federal Bureau of Investigation prepared this digital rendering in 2026 as a visual aid in support of the PURSUE initiative. ",,,FBI,2011,,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D029_Digital-Rendering_Dark-Triangle-with-Lights_2011.jpg,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D029_Digital-Rendering_Dark-Triangle-with-Lights_2011.jpg,"A digital rendering of a person looking up at a dark, triangular object with three lights in the night sky.",260807-O-D0360-1149,,,,,,,,,,,,
YES,,8/7/26,"FBI-UAP-D031, Digital Rendering, “Large Triangle with Red Lights,” 2023",IMG,,FBI-UAP-D030,"This image is an artistic interpretation of a reported incident potentially involving unidentified anomalous phenomena (UAP) near Colorado Springs, Colorado in 2023. This image is based upon a first-hand description provided by a U.S. Person, as described in FBI-UAP-D030. The Federal Bureau of Investigation prepared this digital rendering in 2026 as a visual aid in support of the PURSUE initiative. ",,,FBI,2023,"Colorado Springs, Colorado",https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D031_Digital-Rendering_Large-Triangle-with-Red-Lights_2023.jpg,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D031_Digital-Rendering_Large-Triangle-with-Red-Lights_2023.jpg,"A digital rendering of a large, dark triangular object with red lights flying over a parking lot at night.",260807-O-D0360-1151,,,,,,,,,,,,
Yes,,8/7/26,"FBI-UAP-D038, Digital Rendering 1, “Multiple Red Lights,” 2026",PDF,,FBI-UAP-D037 | FBI-UAP-D039,"This image is an artistic interpretation of a reported incident potentially involving unidentified anomalous phenomena (UAP) in the western United States in 2026. This image is based upon a first-hand description provided by two U.S. persons, as described in FBI-UAP-D037. The Federal Bureau of Investigation prepared this digital rendering in 2026 as a visual aid in support of the PURSUE initiative.",,,FBI,2026,Western United States,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D038_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D038_Digital-Rendering-1_Multiple-Red-Lights_2026.jpg,"A digital rendering of a person standing next to a vehicle, looking at two red lights in the sky over a mountainous landscape.",260807-O-D0360-1158,,,,,,,,,,,,
Yes,,8/7/26,"FBI-UAP-D039, Digital Rendering 2, “Multiple Red Lights,” 2026",PDF,,FBI-UAP-D037 | FBI-UAP-D038,"This image is an artistic interpretation of a reported incident potentially involving unidentified anomalous phenomena (UAP) in the western United States in 2026. This image is based upon a first-hand description provided by two U.S. persons, as described in FBI-UAP-D037. The Federal Bureau of Investigation prepared this digital rendering in 2026 as a visual aid in support of the PURSUE initiative.",,,FBI,2026,Western United States,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D039_Digital-Rendering-2_Multiple-Red-Lights_2026.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D039_Digital-Rendering-2_Multiple-Red-Lights_2026.jpg,"A digital rendering of a night sky with a large, bright object surrounded by concentric circles, viewed through binoculars.",260807-O-D0360-1159,,,,,,,,,,,,
Yes,,8/7/26,"FBI-UAP-D041, Digital Rendering 1, “Multiple Red Lights,” 2026",PDF,,FBI-UAP-D040 | FBI-UAP-D042,"This image is an artistic interpretation of a reported incident potentially involving unidentified anomalous phenomena (UAP) in the western United States in 2026. This image is based upon a first-hand description provided by two U.S. persons, as described in FBI-UAP-D040. The Federal Bureau of Investigation (FBI) prepared this digital rendering in 2026 as a visual aid in support of the PURSUE initiative.",,,FBI,2026,Western United States,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D041_Digital-Rendering-1_Multiple-Red-Lights_2026.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D041_Digital-Rendering-1_Multiple-Red-Lights_2026.jpg,"A digital rendering of a person standing in a desert landscape at night, with several red light sources visible in the sky.",260807-O-D0360-1161,,,,,,,,,,,,
Yes,,8/7/26,"FBI-UAP-D042, Digital Rendering 2, “Multiple Red Lights,” 2026",PDF,,FBI-UAP-D040 | FBI-UAP-D041,"This image is an artistic interpretation of a reported incident potentially involving unidentified anomalous phenomena (UAP) in the western United States in 2026. This image is based upon a first-hand description provided by two U.S. persons, as described in FBI-UAP-D040. The Federal Bureau of Investigation prepared this digital rendering in 2026 as a visual aid in support of the PURSUE initiative.",,,FBI,2026,Western United States,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/FBI-UAP-D042_Digital-Rendering-2_Multiple-Red-Lights_2026.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/FBI-UAP-D042_Digital-Rendering-2_Multiple-Red-Lights_2026.jpg,"A digital rendering of a light streak in the sky over a mountainous landscape, as viewed through binoculars.",260807-O-D0360-1162,,,,,,,,,,,,
,TRUE,8/7/26,"CIA-UAP-D022, Unidentified Flying Object Reported near Puerto Rico, 1965",PDF,,CIA-UAP-D023,"This file contains Central Intelligence Agency (CIA) memoranda exchanged between the Assistant Director for Special Activities (AD/SA) and the Assistant Director for Scientific Intelligence (AD/SI) regarding an incident allegedly involving unidentified aircraft in the vicinity of Puerto Rico. The AD/SI was then-responsible for analyzing foreign scientific advancements and technological threats, such as Soviet nuclear, chemical, and ballistic missile capabilities. The AD/SA managed the CIA’s classified overhead reconnaissance operations, including the deployment of advanced aircraft like the U-2 and A-12 OXCART. Together, these offices ensured the United States could both gather critical intelligence over contested territories and accurately evaluate the technical capabilities of foreign adversaries during the Cold War.

The memoranda refer to an incident on November 19, 1964, in which a U.S. Naval aviator described observing an unidentified object as “delta-shaped, about the size of a jet fighter.” The pilot visually estimated the object’s velocity as Mach 3 (approximately 2,200 mph). A corresponding track from an AN/SPS-49 radar system aboard a U.S. Navy guided missile destroyer in the area, USS Gyatt, measured the object’s speed at 3,800 knots (approximately 4,373 mph). The memoranda indicate that, in the opinion of the AD/SI, the object was conceivably associated with foreign intelligence gathering activities, citing active missile testing within the AFWR, or Atlantic Fleet Weapons Range, as being an attractive reconnaissance target. The AD/SA and AD/SI also ruled out domestic experimental aircraft, such as the YF-12A OXCART, as a potential attribution.",,,CIA,2/1/65,Caribbean Sea,https://www.war.gov/medialink/ufo/release_05/Aug_07/documents/CIA-UAP-D022_Unidentified-Flying-Object-Reported-near-Puerto-Rico_1965.pdf,https://www.war.gov/medialink/ufo/release_05/Aug_07/thumbnails/CIA-UAP-D022_Unidentified-Flying-Object-Reported-near-Puerto-Rico_1965.jpg,"A February, 1965 CIA memorandum for the Assistant Director of Special Activities regarding a reported unidentified flying object.",260807-O-D0360-1139,,,,,,,,,,,,
