Featured,Redaction,Release Date,Title,Type,Video Pairing,PDF Pairing,Description Blurb,DVIDS Video ID,Video Title,Agency,Incident Date,Incident Location,PDF | Image Link,Modal Image,Image Alt Text,Image VIRIN,
YES,,9/18/26,"DOW-UAP-D102, Project Blue Book File on Tremonton Film, Utah, 1952",PDF,DOW-UAP-PR159,DOW-UAP-D098 | DOW-UAP-D103 | DOW-UAP-D104 | DOW-UAP-D105,"This document records the Project Blue Book investigation and subsequent assessments of an incident near Tremonton, Utah, on July 2, 1952. Project Blue Book was a 1952-1969 U.S. Air Force program to investigate the nature and origin of unidentified flying objects (UFOs). The file describes the Air Force’s assessment of the principal witness, Delbert C. Newhouse, a U.S. Navy Warrant Officer specializing in photography, as honest and reliable, and as an expert with more than 1,000 hours of aerial-photography experience. Newhouse reported observing 12 to 14 reflective objects and recorded the event on color motion-picture film using a handheld Bell & Howell Auto Master camera.

The file reflects an evolving Air Force assessment of the imagery over several years. Early documentation considered several possible explanations, including sunlight reflecting from birds or balloons, and a mirage effect, and did not identify the objects conclusively. Later assessments became more confident that the objects were seabirds reflecting sunlight, citing identifiable seabirds and similar films showing seabirds as bright points of light under comparable conditions. However, the film’s limited detail and lack of fixed reference points prevented reliable determination of the objects’ distance, size, altitude, or linear speed from the film alone.

AARO Comment: The file contains conflicting references to the film format. Several documents describe a 35mm film, while contemporaneous submission documentation identifies the original as a 50-foot roll of processed 16mm Kodachrome color motion-picture film recorded with a handheld Bell & Howell Auto Master camera. Newhouse reported exposing approximately 30 feet of the roll during the incident and using the remaining film later that day to record unrelated mountain scenery in Idaho. Other records show that 35mm positive and negative duplicate blowups were produced from the original 16mm material. The file also indicates that the original film was duplicated for preservation, citing its deteriorating condition. The footage retained by the National Archives and Records Administration and presented in this collection as DOW-UAP-PR159 is a digitization of a 16mm print.",,,Department of War,7/2/52,"Tremonton, Utah",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D102_Project-Blue-Book-File-on-Tremonton-Film-Utah-1952.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D102_Project-Blue-Book-File-on-Tremonton-Film-Utah-1952.jpg,A typed document with handwritten notes and dates about the Tremonton film.,260918-D-D0360-1091,
YES,TRUE,9/18/26,"DOW-UAP-D110, AAWSAP Statement of Objectives, July 2008",PDF,,DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is an administrative or programmatic record related to the Advanced Aerospace Weapon System Applications Program (AAWSAP), a Defense Intelligence Agency (DIA)-administered program active from 2008 to 2012. AAWSAP’s official scope of work identified 12 technical research areas relating to potential aerospace threats over a time horizon of more than 40 years. As an administrative record, the file documents how AAWSAP was scoped, organized, tasked, funded, or described at a particular point in time.

This July 2008 Statement of Objectives defines AAWSAP as a contractor-supported research effort intended to assess far-term foreign aerospace threats by understanding the physics and engineering of possible breakthrough technologies out to the year 2050 rather than extrapolating from then-current aerospace trends. It identifies 12 technical study areas, including lift, propulsion, control, power generation, spatial or temporal translation, materials, configuration and structure, signature reduction, human interface, human effects, armament, and related supporting topics. The document also sets out the program’s expected work structure, requiring monthly status reports, technical-area program management plans within 60 days, comprehensive research reports and briefings by the tenth month, and a final integrated threat assessment.",,,Department of War,7/18/08,"Washington, D.C.",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D110_AAWSAP-Statement-of-Objectives-July-18-2008.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D110_AAWSAP-Statement-of-Objectives-July-18-2008.jpg,Document listing goals and study areas for an advanced aerospace program.,260918-D-D0360-1099,
YES,TRUE,9/18/26,"DOW-UAP-D111, AAWSAP Solicitation and Original Order, September 2008",PDF,,DOW-UAP-D110 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is an administrative or programmatic record related to the Advanced Aerospace Weapon System Applications Program (AAWSAP), a Defense Intelligence Agency (DIA)-administered program active from 2008 to 2012. AAWSAP’s official scope of work identified 12 technical research areas relating to potential aerospace threats over a time horizon of more than 40 years. As an administrative record, the file documents how AAWSAP was scoped, organized, tasked, funded, or described at a particular point in time.

This September 2008 solicitation/contract/order document serves as the original contract award instrument for AAWSAP work performed by Bigelow Aerospace Advanced Space Studies, Inc. (BAASS), incorporating the contractor’s proposal by reference and translating the earlier Statement of Objectives (DOW-UAP-D110) into priced contract line items. The file breaks the base year into specific deliverable categories, including monthly status reports, program management plans for the 12 technical areas, research reports, a comprehensive integrated threat assessment, travel, and other direct costs, and corresponding option-year line items for follow-on performance.",,,Department of War,9/22/08,"Washington, D.C.",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D111_AAWSAP-Solicitation-and-Original-Order-September-22-2008.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D111_AAWSAP-Solicitation-and-Original-Order-September-22-2008.jpg,Government contract form for goods or services.,260918-D-D0360-1100,
YES,TRUE,9/18/26,"DOW-UAP-D117, AAWSAP DIRD, Metallic Glasses for Aerospace Applications, December 2009",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D116 |  DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D129 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is a Defense Intelligence Reference Document (DIRD), a technical reference format used by the Defense Intelligence Agency (DIA) to capture baseline knowledge on a specific topic for later analytic use. DIRDs are best understood as reference and synthesis products rather than as original research. It is one of 38 DIRDs produced under the Advanced Aerospace Weapon System Applications Program (AAWSAP) between 2009 and 2011. Because AAWSAP’s scope permitted a broad range of supporting topics, not every DIRD in the series directly concerns aerospace systems or future threat assessment. The following summary reflects the DIRD’s scope and framing at the time of writing and should not be read as implying current validation of the concepts discussed.

This DIRD surveys metallic glasses as a potentially important class of aerospace materials and describes their amorphous structure as offering very high strength and unusual manufacturing advantages, but also significant drawbacks, especially poor ductility and fatigue resistance. The document concludes that the most promising aerospace applications are likely to come from metallic-glass-matrix composites rather than single-phase glasses, because these composites can retain high strength while greatly improving fracture toughness and fatigue performance, potentially enough to substitute for high-strength steels in some space-limited structural uses. At the same time, the report judges that broader aerospace use will depend on substantial progress over the next 20–50 years in alloy design, processing, and especially the development of lightweight systems, including aluminum-based options.",,,Department of War,12/14/09,"Las Vegas, Nevada",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D117_AAWSAP-DIRD-Metallic-Glasses-for-Aerospace-Applications-December-14-2009.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D117_AAWSAP-DIRD-Metallic-Glasses-for-Aerospace-Applications-December-14-2009.jpg,Microscope image showing shearing in a bent metallic glass sample at the nanometer scale.,260918-D-D0360-1106,
YES,TRUE,9/18/26,"DOW-UAP-D129, AAWSAP DIRD, Metallic Spintronics, March 2010",PDF,,DOW-UAP-D110 | DOW-UAP-D111 | DOW-UAP-D112 | DOW-UAP-D113 | DOW-UAP-D114 | DOW-UAP-D115 | DOW-UAP-D116 | DOW-UAP-D117 | DOW-UAP-D118 | DOW-UAP-D119 | DOW-UAP-D120 | DOW-UAP-D121 | DOW-UAP-D122 | DOW-UAP-D123 | DOW-UAP-D124 | DOW-UAP-D125 | DOW-UAP-D126 | DOW-UAP-D127 | DOW-UAP-D128 | DOW-UAP-D130 | DOW-UAP-D131 | DOW-UAP-D132 | DOW-UAP-D133 | DOW-UAP-D134 | DOW-UAP-D135 | DOW-UAP-D136 | DOW-UAP-D137 | DOW-UAP-D138 | DOW-UAP-D139 | DOW-UAP-D140 | DOW-UAP-D141 | DOW-UAP-D142 | DOW-UAP-D143 | DOW-UAP-D144 | DOW-UAP-D145 | DOW-UAP-D146 | DOW-UAP-D147 | DOW-UAP-D148 | DOW-UAP-D149 | DOW-UAP-D150 | DOW-UAP-D151 | DOW-UAP-D152 | DOW-UAP-D153,"This document is a Defense Intelligence Reference Document (DIRD), a technical reference format used by the Defense Intelligence Agency (DIA) to capture baseline knowledge on a specific topic for later analytic use. DIRDs are best understood as reference and synthesis products rather than as original research. It is one of 38 DIRDs produced under the Advanced Aerospace Weapon System Applications Program (AAWSAP) between 2009 and 2011. Because AAWSAP’s scope permitted a broad range of supporting topics, not every DIRD in the series directly concerns aerospace systems or future threat assessment. The following summary reflects the DIRD’s scope and framing at the time of writing and should not be read as implying current validation of the concepts discussed.

This DIRD surveys metallic spintronics, a branch of electronics that seeks to use both the electric charge and the magnetic spin of electrons to store, detect, and manipulate information, and argues that the field could lead to faster, lower-power, and more radiation-resistant devices than conventional semiconductor electronics. The report focuses on two main effects: giant magnetoresistance (GMR), which allows magnetic states to be read through changes in electrical resistance, and spin-transfer torque (STT), which allows electrical currents to change those magnetic states. The DIRD reviews their underlying physics, the experimental work then available, and possible applications in memory, sensors, oscillators, and logic devices. The document treats metallic spintronics as a promising field while emphasizing that many of its more advanced proposed applications still require substantial further development.",,,Department of War,3/23/10,"Las Vegas, Nevada",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D129_AAWSAP-DIRD-Metallic-Spintronics-March-23-2010.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D129_AAWSAP-DIRD-Metallic-Spintronics-March-23-2010.jpg,"Diagram showing how electric current torques the magnetic moment in a magnetic field, influencing the spin rate and direction of electrons to achieve stable frequencies within a system.",260918-D-D0360-1118,
YES,,9/18/26,"DOW-UAP-D154, Transcript of a Presentation by Captain Edward J. Ruppelt, 1952",PDF,DOW-UAP-PR160,,"This document is a transcript of a March 1952 presentation by Captain Edward J. Ruppelt outlining the U.S. Air Force’s reorganized investigation into unidentified flying objects (UFOs). The presentation previews prospective technical methodologies, such as diffraction-grating photography and radar-scope synchronization, that were subsequently incorporated into Project Blue Book, a U.S. Air Force program active from 1952 to 1969 that investigated the nature and origin of UFOs. Ruppelt explains that out of approximately 800 historical cases reviewed by the Air Force, approximately 20% remained unexplained after technical analysis. These unresolved reports were sourced from credible military personnel, commercial pilots, and other qualified technical observers. He highlights geographic report concentrations around sensitive national security and nuclear weapons installations (including Los Alamos, Albuquerque, and Oak Ridge National Laboratories) and notes recurring anomalous characteristics, including silent high-speed flight and radar detections indicating unconfirmed air speeds between 1,000 and 3,500 miles per hour. Emphasizing that the Air Force found no conclusive evidence regarding the nature or origin of the phenomena, Ruppelt underscores the national security need for a systematic physical data collection effort to better evaluate these sightings.",,,Department of War,3/26/52,"Boston, Massachusetts",https://www.war.gov/medialink/ufo/sept-18/release-06/assets/DOW-UAP-D154_Transcript-of-a-Presentation-by-Captain-Edward-J-Ruppelt-1952.pdf,https://www.war.gov/medialink/ufo/sept-18/release-06/thumbs/DOW-UAP-D154_Transcript-of-a-Presentation-by-Captain-Edward-J-Ruppelt-1952.jpg,Transcript Document,260918-D-D0360-1145,
YES,,9/18/26,"DOW-UAP-PR159, Historical Film of Reported UFOs, Utah, 1952",VID,,DOW-UAP-D098 | DOW-UAP-D102 | DOW-UAP-D103 | DOW-UAP-D104 | DOW-UAP-D105,"This archival footage is a digitization of a 16mm print of Kodachrome color motion-picture film shot on a handheld Bell & Howell Auto Master camera near Tremonton, Utah, on July 2, 1952. U.S. Navy Chief Warrant Officer Delbert C. Newhouse reported observing and filming a group of bright airborne objects and shortly thereafter submitted the footage to the U.S. Air Force. The film later became one of the visual cases reviewed by Project Blue Book, the 1952–1969 U.S. Air Force program that investigated the nature and origin of unidentified flying objects (UFOs). The film’s limited detail and lack of fixed reference points prevented a conclusive resolution. From the 55-second mark onward, the film transitions to unrelated footage appearing to show a demonstration of sewing equipment. The presence of unrelated sewing-equipment footage suggests that the surviving footage may be a composite or reused print, though the available record does not establish how or when the materials came to be combined. As documented in records submitted with the film, contained in this collection under the title DOW-UAP-D102, the footage originally was paired with mountain scenery from Idaho, which is not preserved in this digitization.",1023402,,Department of War,7/2/52,"Tremonton, Utah",,,,,
YES,,9/18/26,"DOW-UAP-PR160, Presentation by Captain Edward J. Ruppelt, 1952",AUD,,,"This audio file records a March 1952 presentation by Captain Edward J. Ruppelt, outlining the U.S. Air Force’s reorganized investigation into unidentified flying objects (UFOs). The presentation previews prospective technical methodologies, such as diffraction-grating photography and radar-scope synchronization, that were subsequently incorporated into Project Blue Book, a U.S. Air Force program active from 1952 to 1969 that investigated the nature and origin of UFOs. Ruppelt explains that out of approximately 800 historical cases reviewed by the Air Force, approximately 20% remained unexplained after technical analysis. These unresolved reports were sourced from credible military personnel, commercial pilots, and other qualified technical observers. He highlights geographic report concentrations around sensitive national security and nuclear weapons installations (including Los Alamos, Albuquerque, and Oak Ridge National Laboratories) and notes recurring anomalous characteristics, including silent high-speed flight and radar detections indicating unconfirmed air speeds between 1,000 and 3,500 miles per hour. Emphasizing that the Air Force found no conclusive evidence regarding the nature or origin of the phenomena, Ruppelt underscores the national security need for a systematic physical data collection effort to better evaluate these sightings.",1023407,,Department of War,3/26/52,"Boston, Massachusetts",,,,,
YES,TRUE,9/18/26,"LLE-UAP-PR001, Unresolved UAP Report, Colorado, 2023",VID,,,"A local law enforcement officer submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office consisting of 1 minute and 19 seconds of video footage from a commercially available cellular device’s rear-facing camera in October 2023. The reporting officer described the phenomenon as “silent” and as featuring “red, blue, and green flashing lights.” 

Video Description: AARO digitally altered this footage by blurring the bottom half to obscure information whose release could be reasonably expected to affect the privacy or other protected interest of a U.S. person or commercial entity. 

00:00-00:47: The camera pans to track an apparent light source, keeping it generally centered within the frame. 

00:48-01:19: The camera increases and decreases its level of magnification several times and continues to pan to track the apparent light source.   

AARO Comment: Cellular devices of the type used to capture this footage employ autofocus and other automated image-processing functions that may distort the apparent morphological and kinematic characteristics of distant subjects, particularly at high magnification.  ",1023409,,Local Law Enforcement,"October, 2023",Colorado,,,,,
YES,TRUE,9/18/26,"LLE-UAP-PR002, Unresolved UAP Report, Colorado, October 2023",VID,,,"A local law enforcement officer submitted a report of an unidentified anomalous phenomenon to the All-domain Anomaly Resolution Office consisting of 15 minutes of video footage from a commercially available cellular device’s rear-facing camera in October 2023. The reporting officer described the phenomenon as “silent” and as featuring “red, blue, and green flashing lights.” 

Video Description: AARO digitally altered this footage by blurring the bottom half to obscure information whose release could be reasonably expected to affect the privacy or other protected interest of a U.S. person or commercial entity. 

00:00-15:00: The camera focuses on an apparent light source for the duration of the video, keeping it generally centered within the frame. 

AARO Comment: Cellular devices of the type used to capture this footage employ autofocus and other automated image-processing functions that may distort the apparent morphological and kinematic characteristics of distant subjects, particularly at high magnification.  ",1023412,,Local Law Enforcement,"October, 2023",Colorado,,,,,
