RESTRICTED


CHECK-LIST - UNIDENTIFIED FLYING OBJECTS
Incident # 72


Date     17 Sept 1947 -


Time     N/S


Location     Alaska (Ft Richardson (?))


Name of observer     N/S


Occupation of observer     Army Officer


Address of observer     N/S


Place of observation     Near Ft Richardson, Alaska


Number of objects     1


Distance of object from observer     N/S


Time in sight     N/S


Altitude     Below 10,000 ft


Speed     tremendous


Direction of flight     N/S


Tactics     N/S


Sound     N/S


Size     2-3 ft diameter


Color     metallic silver


Shape     spherical


Odor detected     N/S


Apparent construction     None


Exhaust trails     None


Weather conditions     Scattered clouds


Effect on clouds     N/S


Sketches or photographs     None


Manner of disappearance     N/S


Remarks:     (over)


RESTRICTED
156
